"event_pk";"event_pk_depth";"work_area";"site_id";"date";"survey";"line_out_depth";"ctd_depth";"specific_conductance_ysi";"orp_ysi";"dissolved_O2_ysi";"temp_ysi";"ph_ysi";"salinity_ysi";"lat";"long";"nuts_N";"x.no2_no3_um";"sd.no2_no3_um";"x.po4";"sd.po4";"x.sio2";"sd.sio2";"chloro_N";"x.chla";"sd.chla";"x.phaeo";"sd.phaeo";"pom_N";"x.ug_n";"sd.ug_n";"x.ug_c";"sd.ug_c";"x.c_n";"sd.c_n";"do13c_N";"x.c_doc_ppm";"sd.c_doc_ppm";"x.delta_13cvpdb_doc";"sd.delta_13cvpdb_doc";"filename";"ctd_model";"date_time";"ctd_N";"x.conductivity_mS.cm";"sd.conductivity_mS.cm";"x.temp_C";"sd.temp_C";"x.pressure_dbar";"sd.pressure_dbar";"x.PAR";"sd.PAR";"x.chlorophyll_ugL";"sd.chlorophyll_ugL";"x.turbidity_ftu";"sd.turbidity_ftu";"x.o2_mLL";"sd.o2_mLL";"x.salinity_psu";"sd.salinity_psu";"x.depth_m";"sd.depth_m";"site_name";"spatial_id";"seascape";"region";"habitat1";"habitat2";"ns_site_lat";"ns_site_long";"Date";"Year";"Month"
404759;"404759_1";"CALVERT";"PPO";2018-05-29;"BSEIN";1;1;NA;NA;NA;10.7;8.09;30.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-05-29;"2018";5
404759;"404759_10";"CALVERT";"PPO";2018-05-29;"BSEIN";10;10;NA;NA;NA;10.1;8.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-05-29;"2018";5
404759;"404759_5";"CALVERT";"PPO";2018-05-29;"BSEIN";5;5;NA;NA;NA;10.4;8.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-05-29;"2018";5
404836;"404836_0";"CALVERT";"HDO";2018-05-30;"BSEIN";0;0;NA;NA;NA;11.5;8.17;28.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Dock";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65456";"-128.13007";2018-05-30;"2018";5
404836;"404836_1";"CALVERT";"HDO";2018-05-30;"BSEIN";1;1;NA;NA;NA;11.6;8.17;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Dock";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65456";"-128.13007";2018-05-30;"2018";5
404836;"404836_10";"CALVERT";"HDO";2018-05-30;"BSEIN";10;10;NA;NA;NA;11.4;8.15;29.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Dock";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65456";"-128.13007";2018-05-30;"2018";5
404836;"404836_5";"CALVERT";"HDO";2018-05-30;"BSEIN";5;5;NA;NA;NA;11.5;8.16;29.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Dock";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65456";"-128.13007";2018-05-30;"2018";5
404854;"404854_4";"CALVERT";"WFB";2018-05-31;"BSEIN";4;4;NA;NA;NA;10.2;7.93;30.49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Wolf_Beach";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.66825";"-128.11855";2018-05-31;"2018";5
404855;"404855_0";"CALVERT";"SSP";2018-05-31;"BSEIN";0;0;NA;NA;NA;10.7;8.03;29.63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Sandspit";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.680508";"-128.115208";2018-05-31;"2018";5
404855;"404855_10";"CALVERT";"SSP";2018-05-31;"BSEIN";10;10;NA;NA;NA;10.3;7.89;30.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Sandspit";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.680508";"-128.115208";2018-05-31;"2018";5
404855;"404855_5";"CALVERT";"SSP";2018-05-31;"BSEIN";5;5;NA;NA;NA;10.4;8;30.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Sandspit";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.680508";"-128.115208";2018-05-31;"2018";5
408088;"408088_0";"CALVERT";"KOEYE KR01";2018-06-13;"FGS_Y";0;0;NA;230.4;11.5;13.3;5.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-06-13;"2018";6
