"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae_Granulosicoccus","Microtrichaceae_uncultured","Hyphomonadaceae_Litorimonas","Flavobacteriaceae_Maribacter","Verrucomicrobiales_DEV007_uncultured","Micavibrionales_uncultured","Cellvibrionaceae_uncultured","Methylophilaceae_Methylotenera","Thiotrichaceae_Cocleimonas","Flavobacteriaceae_Winogradskyella","Rhodobacteraceae_Loktanella","Thiotrichaceae_Leucothrix","Sphingomonadaceae_Sphingorhabdus","Sphingomonadaceae_Altererythrobacter","Methylophilaceae_Methylophilus","Arenicellaceae_Arenicella","Chitinophagales_uncultured","Microtrichaceae_Sva0996_marine_group","Bdellovibrionaceae_OM27_clade","Spirosomaceae_Taeseokella","Saprospiraceae_Portibacter","Hyphomonadaceae_Robiginitomaculum","Rhodobacteraceae_Pacificibacter","Gammaproteobacteria_KI89A_clade","Gracilibacteria_JGI_0000069-P22","Flavobacteriaceae_Lacinutrix","Saprospiraceae_Lewinella","Rhizobiales_Rhizobiaceae","Midichloriaceae_MD3-55","Gracilibacteria_uncultured","Pirellulaceae_Pir4_lineage","Absconditabacteriales_(SR1)_uncultured","Methylophagaceae_uncultured","Flavobacteriaceae_Ichthyenterobacterium","Simkaniaceae_Candidatus_Fritschea"
"goose_south_east_4","ZosGSEoldA",2015,"goose","goose_south_east","4","chirp",405,121,143,14,151,38,4,0,25,20,4,17,67,28,132,41,3,17,13,6,11,100,52,35,132,6,10,43,12,54,8,12,0,23,0
"goose_south_east_3","ZosGSEoldD",2015,"goose","goose_south_east","3","hiss",866,146,122,13,157,32,12,0,22,0,5,24,50,34,0,22,11,12,7,3,5,22,3,14,68,0,1,13,4,4,4,4,0,0,2
"goose_south_east_2","ZosGSEoldF",2015,"goose","goose_south_east","2","meow",357,125,92,52,66,60,43,9,13,21,5,206,56,35,0,44,19,42,32,20,11,23,9,67,1,46,14,5,4,26,7,4,3,31,2
"goose_south_east_1","ZosGSEoldE",2015,"goose","goose_south_east","1","moo",670,225,32,22,186,40,0,0,8,21,18,59,53,23,8,29,8,11,121,10,10,0,4,25,8,8,0,9,16,4,10,0,0,0,0
"goose_south_west_6","ZosGSWoldE",2015,"goose","goose_south_west","6","d",562,144,7,17,138,12,14,429,11,6,0,23,27,16,121,3,1,8,9,0,8,4,54,24,16,0,0,3,0,34,6,0,2,0,0
"goose_south_west_5","ZosGSWoldF",2015,"goose","goose_south_west","5","f",550,163,30,68,84,5,49,23,3,119,25,27,12,17,22,25,0,33,7,62,3,1,0,9,2,7,32,0,1,22,23,0,0,0,2
"goose_south_west_4","ZosGSWoldC",2015,"goose","goose_south_west","4","b",217,136,14,84,98,4,59,47,2,76,19,7,54,18,9,9,0,4,5,28,0,4,2,36,2,8,5,0,3,45,16,0,0,0,2
"goose_south_west_3","ZosGSWoldB",2015,"goose","goose_south_west","3","c",357,91,11,65,97,86,17,72,19,18,4,122,30,15,91,12,6,7,30,8,9,11,37,28,93,7,5,6,10,31,9,13,0,5,0
"goose_south_west_2","ZosGSWoldD",2015,"goose","goose_south_west","2","e",453,82,31,55,61,2,60,81,8,56,12,0,41,12,0,24,0,11,2,47,0,10,28,21,0,11,0,0,0,31,11,0,0,0,0
"goose_south_west_1","ZosGSWoldA",2015,"goose","goose_south_west","1","a",254,120,26,56,81,7,68,80,5,39,6,16,70,12,100,13,0,8,1,26,0,0,25,27,5,12,5,1,3,20,21,0,0,0,7
"mcmullins_north_6","ZosMcNoldF",2015,"mcmullins","mcmullins_north","6","b",281,210,133,141,35,69,2,14,58,27,20,10,16,74,20,26,12,3,1,53,3,10,1,2,35,0,0,10,53,27,0,12,7,41,98
"mcmullins_north_5","ZosMcNoldE",2015,"mcmullins","mcmullins_north","5","d",342,220,143,323,5,14,0,33,84,46,12,0,25,125,0,19,40,5,0,8,0,0,0,0,0,0,0,10,34,23,0,10,7,33,123
"mcmullins_north_4","ZosMcNoldD",2015,"mcmullins","mcmullins_north","4","e",246,202,134,174,14,16,4,11,20,196,6,11,15,69,4,6,48,4,3,7,17,11,0,0,10,3,4,5,33,19,3,12,7,72,38
"mcmullins_north_3","ZosMcNoldC",2015,"mcmullins","mcmullins_north","3","f",106,199,153,375,9,37,1,19,53,194,5,5,17,64,14,10,17,6,3,14,10,0,0,0,37,18,0,0,55,62,4,13,7,44,85
"mcmullins_north_2","ZosMcNoldB",2015,"mcmullins","mcmullins_north","2","c",169,212,165,220,17,17,0,39,71,93,9,14,6,85,9,11,48,9,10,16,3,3,0,4,3,13,0,9,51,29,2,22,0,36,119
"mcmullins_north_1","ZosMcNoldA",2015,"mcmullins","mcmullins_north","1","a",179,99,113,226,5,4,4,0,18,437,14,0,22,24,0,0,54,12,3,0,16,6,0,5,25,20,0,0,41,0,0,7,0,31,47
"mcmullins_south_6","ZosMcSoldF",2015,"mcmullins","mcmullins_south","6","c",295,312,95,41,62,4,53,31,27,44,18,92,52,44,0,19,16,33,13,0,7,4,0,14,0,11,21,10,31,1,16,24,0,19,103
"mcmullins_south_5","ZosMcSoldE",2015,"mcmullins","mcmullins_south","5","e",216,239,95,77,52,7,16,36,51,88,7,54,80,65,12,1,18,40,14,2,2,18,13,11,9,10,9,21,7,4,30,7,12,27,36
"mcmullins_south_4","ZosMcSoldD",2015,"mcmullins","mcmullins_south","4","f",204,269,110,93,61,11,23,10,24,128,15,63,85,71,0,12,19,37,18,13,7,17,9,18,15,29,13,15,37,19,5,17,6,25,47
"mcmullins_south_3","ZosMcSoldC",2015,"mcmullins","mcmullins_south","3","a",176,310,153,176,17,8,19,11,17,135,19,38,61,92,0,15,28,42,8,14,4,14,0,3,38,14,20,11,17,12,8,15,4,58,33
"mcmullins_south_2","ZosMcSoldB",2015,"mcmullins","mcmullins_south","2","d",350,186,82,46,78,5,106,17,22,62,7,27,82,71,0,22,14,8,38,4,22,4,29,12,0,14,11,11,5,6,2,5,0,10,59
"mcmullins_south_1","ZosMcSoldA",2015,"mcmullins","mcmullins_south","1","b",304,199,113,112,19,8,5,4,13,96,26,40,65,51,17,12,25,43,22,6,26,25,0,7,10,24,19,14,25,3,8,2,4,73,49
"triquet_north_6","ZosTQNoldA",2015,"triquet","triquet_north","6","a",340,352,69,149,23,3,7,0,425,80,10,122,48,44,0,4,2,15,0,14,0,8,0,32,0,27,1,6,23,0,9,6,0,0,11
"triquet_north_5","ZosTQNoldB",2015,"triquet","triquet_north","5","d",186,211,52,160,34,24,5,12,90,355,21,120,29,15,0,1,8,11,5,40,0,8,15,5,7,22,45,2,19,4,46,3,0,0,17
"triquet_north_4","ZosTQNoldC",2015,"triquet","triquet_north","4","c",370,299,89,274,43,13,11,6,94,149,8,168,37,15,8,5,4,49,8,5,3,7,13,15,1,19,27,15,21,2,39,8,0,0,11
"triquet_north_3","ZosTQNoldE",2015,"triquet","triquet_north","3","f",49,149,35,102,127,10,0,27,176,41,24,27,80,82,477,0,2,25,3,9,0,70,14,17,40,8,0,32,9,75,7,35,3,0,12
"triquet_north_2","ZosTQNoldD",2015,"triquet","triquet_north","2","b",428,249,113,313,23,13,16,0,13,204,12,18,42,0,23,0,8,6,0,11,0,0,9,3,2,44,70,6,13,0,47,2,0,0,3
"triquet_north_1","ZosTQNoldF",2015,"triquet","triquet_north","1","e",251,308,85,99,111,27,7,14,196,71,10,67,84,27,0,1,2,39,0,36,4,5,5,81,5,8,0,4,4,3,39,6,0,0,10
"triquet_south_6","ZosTQSoldA",2015,"triquet","triquet_south","6","e",518,231,96,74,36,2,109,0,3,32,20,8,16,16,0,8,15,9,38,4,34,8,0,3,0,19,33,9,3,7,20,0,0,0,275
"triquet_south_5","ZosTQSoldB",2015,"triquet","triquet_south","5","c",406,258,63,179,20,6,71,11,3,125,13,9,18,46,39,0,11,10,50,25,31,4,3,5,4,15,47,4,12,2,49,0,6,0,11
"triquet_south_4","ZosTQSoldC",2015,"triquet","triquet_south","4","a",829,181,56,117,26,7,44,0,0,29,0,0,30,42,0,7,13,9,39,9,54,17,2,7,0,31,11,3,39,0,17,0,0,0,167
"triquet_south_3","ZosTQSoldD",2015,"triquet","triquet_south","3","d",476,152,71,143,13,11,13,38,0,17,0,0,45,49,12,2,56,6,92,18,19,25,0,5,0,10,3,2,2,8,28,0,0,11,403
"triquet_south_2","ZosTQSoldF",2015,"triquet","triquet_south","2","f",382,78,64,41,158,21,6,23,14,27,0,14,35,17,65,0,22,58,31,20,17,1,50,19,0,7,0,8,0,18,3,0,0,87,29
"triquet_south_1","ZosTQSoldE",2015,"triquet","triquet_south","1","b",16,12,0,4,14,0,0,8,0,0,0,4,2,0,25,0,0,0,0,0,0,0,26,0,1,6,0,0,0,0,0,0,2188,0,2
"choked_sandspit_7","ZosCSSoldH16",2016,"choked","choked_sandspit","7","na",81,171,182,32,197,44,17,0,129,95,69,0,0,0,0,21,0,31,0,0,0,33,171,0,38,14,0,0,0,90,0,19,0,0,5
"choked_sandspit_6","ZosCSSoldA16",2016,"choked","choked_sandspit","6","na",137,104,221,183,159,4,14,47,147,28,382,9,0,70,0,179,0,53,12,0,8,42,45,0,5,0,0,7,0,38,0,25,0,0,0
"choked_sandspit_5","ZosCSSoldB16",2016,"choked","choked_sandspit","5","na",68,274,233,106,90,0,38,27,157,0,74,0,8,71,0,19,0,59,34,0,0,29,54,0,0,0,0,0,0,69,0,0,0,0,0
"choked_sandspit_3","ZosCSSoldE16",2016,"choked","choked_sandspit","3","na",92,50,60,92,210,0,0,0,111,26,42,0,6,42,0,0,15,52,0,0,11,27,415,13,46,0,0,0,0,11,0,0,0,0,0
"choked_sandspit_1","ZosCSSoldC16",2016,"choked","choked_sandspit","1","na",24,0,134,28,109,5,0,80,44,0,78,11,0,18,0,253,19,0,55,0,0,0,0,0,10,0,0,32,0,38,0,28,0,0,0
"goose_south_east_7","ZosGSEoldH16",2016,"goose","goose_south_east","7","na",697,95,119,31,138,16,9,0,34,52,62,96,39,65,0,0,4,83,0,8,41,0,0,25,0,30,10,76,0,0,0,0,0,0,0
"goose_south_east_3","ZosGSEoldB16",2016,"goose","goose_south_east","3","na",709,58,0,0,25,26,0,0,29,0,0,0,8,12,0,16,0,24,11,0,13,0,0,0,11,0,0,67,0,0,4,0,0,0,0
"goose_south_east_2","ZosGSEoldC16",2016,"goose","goose_south_east","2","na",813,151,18,0,366,218,0,0,555,110,38,335,43,41,124,16,0,157,0,0,0,30,0,11,349,244,7,268,29,87,40,60,0,0,0
"goose_south_east_1","ZosGSEoldD16",2016,"goose","goose_south_east","1","na",214,94,76,22,34,42,0,0,81,34,62,220,23,32,0,0,0,123,0,0,0,6,0,20,25,21,0,155,0,0,7,0,0,0,0
"goose_south_west_9","ZosGSWoldH16",2016,"goose","goose_south_west","9","na",596,417,85,84,231,42,0,0,406,71,40,98,0,50,75,13,26,36,0,0,10,0,80,0,51,0,38,68,0,0,0,15,0,19,0
"goose_south_west_7","ZosGSWoldC16",2016,"goose","goose_south_west","7","na",224,530,82,0,257,20,0,0,45,34,20,26,94,30,0,8,7,21,5,10,0,0,0,22,0,0,26,58,0,0,6,0,0,0,0
"goose_south_west_5","ZosGSWoldA16",2016,"goose","goose_south_west","5","na",322,570,62,0,208,47,0,0,165,0,132,107,34,18,38,0,0,40,0,13,0,0,0,9,20,36,104,65,0,0,7,0,0,0,11
"goose_south_west_4","ZosGSWoldB16",2016,"goose","goose_south_west","4","na",218,84,113,17,46,57,0,0,42,35,43,39,38,15,0,0,0,43,4,5,0,0,0,0,15,0,65,56,0,0,0,0,0,0,0
"goose_south_west_2","ZosGSWoldG16",2016,"goose","goose_south_west","2","na",407,800,52,20,269,23,10,0,117,47,100,81,70,28,63,19,0,76,0,4,0,25,0,0,30,45,24,55,0,22,22,0,0,0,0
"mcmullins_north_na","ZosMcNoldA16",2016,"mcmullins","mcmullins_north","na","na",276,73,193,119,0,0,0,26,30,58,0,19,36,55,0,0,11,0,0,0,0,0,66,0,0,0,0,10,13,0,0,0,0,84,27
"mcmullins_north_na","ZosMcNoldD16",2016,"mcmullins","mcmullins_north","na","na",400,163,235,260,0,0,35,0,86,206,0,0,55,61,0,0,15,33,0,15,0,0,88,11,0,0,0,43,12,0,0,0,0,66,7
"mcmullins_north_na","ZosMcNoldE16",2016,"mcmullins","mcmullins_north","na","na",314,162,20,88,0,0,0,0,23,20,0,0,28,29,0,0,0,0,0,0,0,0,119,11,0,0,0,0,11,0,0,0,0,0,0
"mcmullins_north_na","ZosMcNoldF16",2016,"mcmullins","mcmullins_north","na","na",236,77,23,56,0,0,15,29,9,0,0,0,25,17,0,0,0,7,0,0,0,0,53,0,0,0,0,21,0,0,0,0,0,13,12
"mcmullins_south_na","ZosMcSoldA16",2016,"mcmullins","mcmullins_south","na","na",185,77,64,22,0,0,0,0,0,39,0,0,173,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"mcmullins_south_na","ZosMcSoldB16",2016,"mcmullins","mcmullins_south","na","na",490,89,76,210,58,14,47,190,27,110,0,0,34,62,0,0,0,28,47,42,0,0,0,19,0,77,0,0,38,53,6,0,0,0,62
"mcmullins_south_na","ZosMcSoldC16",2016,"mcmullins","mcmullins_south","na","na",685,298,134,124,184,41,145,0,38,131,44,84,173,117,0,54,0,0,53,49,0,12,0,36,0,0,0,38,5,0,0,0,0,0,129
"mcmullins_south_na","ZosMcSoldD16",2016,"mcmullins","mcmullins_south","na","na",255,165,147,40,96,190,27,1030,0,90,0,0,157,0,436,0,0,18,24,16,0,48,0,28,0,0,0,41,0,0,9,0,107,0,79
"mcmullins_south_na","ZosMcSoldE16",2016,"mcmullins","mcmullins_south","na","na",152,36,20,25,19,0,0,130,0,139,0,323,10,6,136,35,0,0,13,0,12,0,23,0,38,0,0,0,0,0,0,10,0,0,11
"mcmullins_south_na","ZosMcSoldF16",2016,"mcmullins","mcmullins_south","na","na",95,49,10,45,48,0,17,205,0,73,0,35,27,44,237,33,14,0,17,0,0,0,0,15,11,0,0,0,0,0,0,0,12,0,28
"pruth_bay_7","ZosPBSoldH16",2016,"pruth","pruth_bay","7","na",88,115,54,37,101,0,0,14,0,177,465,0,0,0,18,0,14,0,0,0,0,0,0,0,0,56,64,0,0,0,9,0,0,0,0
"pruth_bay_6","ZosPBSoldF16",2016,"pruth","pruth_bay","6","na",195,30,0,9,0,0,0,123,0,0,279,0,0,0,0,92,0,0,0,0,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0
"pruth_bay_5","ZosPBSoldG16",2016,"pruth","pruth_bay","5","na",193,228,102,80,177,41,11,0,0,41,388,22,11,0,0,31,40,0,0,0,0,0,0,0,0,131,86,0,0,0,24,0,0,0,0
"pruth_bay_3","ZosPBSoldC16",2016,"pruth","pruth_bay","3","na",241,28,45,28,0,0,32,0,0,0,86,0,0,0,93,63,0,0,0,24,0,0,0,0,0,20,0,0,0,0,0,0,0,14,0
"pruth_bay_2","ZosPBSoldB16",2016,"pruth","pruth_bay","2","na",246,78,406,406,14,1245,76,759,73,794,445,97,0,40,1615,994,60,0,0,126,0,78,37,0,269,307,8,18,46,0,11,27,0,0,0
"pruth_bay_1","ZosPBSoldA16",2016,"pruth","pruth_bay","1","na",30,291,83,71,74,0,29,0,0,0,653,0,46,0,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"pruth_pocket_9","ZosPBPoldC16",2016,"pruth","pruth_pocket","9","na",388,0,86,47,261,68,346,48,54,0,77,0,0,0,378,50,10,0,0,99,15,12,213,0,8,0,0,0,0,12,0,0,0,0,0
"pruth_pocket_3","ZosPBPoldD16",2016,"pruth","pruth_pocket","3","na",249,16,20,52,96,0,173,139,17,120,39,0,0,0,0,109,7,0,0,14,26,0,70,0,7,0,0,0,0,0,0,0,0,0,0
"pruth_pocket_2","ZosPBPoldH16",2016,"pruth","pruth_pocket","2","na",160,60,55,94,31,39,35,0,0,48,84,0,0,0,0,69,10,0,0,0,31,53,95,0,14,28,0,0,0,0,0,0,0,35,0
"pruth_pocket_1","ZosPBPoldF16",2016,"pruth","pruth_pocket","1","na",256,0,64,0,56,17,129,57,0,0,28,0,0,0,0,736,0,0,0,11,0,0,63,0,0,0,0,0,0,0,0,0,0,18,0
"triquet_north_9","ZosTQNoldC16",2016,"triquet","triquet_north","9","na",250,155,21,0,183,19,70,0,82,32,0,32,32,64,70,0,0,0,0,0,0,0,0,15,10,0,0,81,0,0,0,0,0,0,8
"triquet_north_8","ZosTQNoldB16",2016,"triquet","triquet_north","8","na",137,156,32,35,154,16,7,72,19,25,80,0,34,88,66,0,0,17,0,0,0,5,0,40,0,0,0,40,0,0,48,0,0,0,84
"triquet_north_4","ZosTQNoldF16",2016,"triquet","triquet_north","4","na",100,166,60,57,141,4,20,0,86,53,0,48,25,140,0,0,0,69,0,0,0,0,0,25,0,0,0,0,0,0,25,9,0,0,0
"triquet_north_2","ZosTQNoldA16",2016,"triquet","triquet_north","2","na",142,214,37,62,41,15,14,0,30,203,65,0,49,19,15,0,0,36,0,7,0,0,0,28,0,0,0,27,0,0,0,0,0,0,0
"triquet_north_1","ZosTQNoldE16",2016,"triquet","triquet_north","1","na",192,110,74,138,22,46,5,0,82,220,66,34,28,28,0,0,0,57,0,16,0,0,0,6,0,49,8,10,4,0,58,0,0,0,0
"triquet_south_9","ZosTQSoldD16",2016,"triquet","triquet_south","9","na",62,44,38,0,51,31,0,0,47,28,237,59,0,0,0,14,0,18,0,42,0,0,0,0,0,0,271,72,17,0,0,15,0,0,0
"triquet_south_8","ZosTQSoldC16",2016,"triquet","triquet_south","8","na",348,303,130,77,238,91,82,0,0,42,199,27,0,47,13,9,0,0,14,34,0,13,0,0,0,42,97,0,18,0,35,0,0,0,0
"triquet_south_6","ZosTQSoldF16",2016,"triquet","triquet_south","6","na",15,305,20,79,176,12,7,0,45,46,236,67,14,40,19,0,0,18,0,28,0,9,0,0,0,45,23,84,11,0,77,18,0,0,13
"triquet_south_5","ZosTQSoldE16",2016,"triquet","triquet_south","5","na",205,165,87,33,144,16,38,0,13,69,176,0,0,0,30,0,0,0,9,10,0,0,0,5,0,0,192,35,14,0,16,0,0,0,0
"triquet_south_4","ZosTQSoldB16",2016,"triquet","triquet_south","4","na",175,361,182,27,408,52,37,0,0,78,361,29,17,59,69,0,0,0,0,78,0,0,0,0,0,24,307,26,21,0,46,10,0,0,0
"triquet_south_3","ZosTQSoldH16",2016,"triquet","triquet_south","3","na",146,216,66,66,219,59,32,0,0,146,388,26,0,54,29,13,0,0,0,92,0,0,0,0,0,47,63,0,38,23,38,0,0,0,10
"triquet_south_2","ZosTQSoldA16",2016,"triquet","triquet_south","2","na",322,269,149,0,443,97,60,0,0,37,202,19,0,85,60,22,0,0,0,67,0,0,0,4,0,43,125,0,0,6,7,0,0,0,0
"triquet_south_1","ZosTQSoldG16",2016,"triquet","triquet_south","1","na",154,336,81,63,254,32,144,0,0,98,253,0,29,10,0,25,0,0,7,42,0,0,0,0,0,0,205,0,34,0,35,0,0,0,0
"choked_inner_4","ZosCIoldD17",2017,"choked","choked_inner","4","na",36,1,25,7,0,0,19,82,28,10,3,7,0,0,166,93,3,0,0,0,5,0,1,0,0,0,0,0,3,0,0,3,1841,0,0
"choked_inner_3","ZosCIoldC17",2017,"choked","choked_inner","3","na",9,52,9,5,117,4,0,77,13,33,6,5,0,0,108,9,1,7,0,2,1,0,1,5,0,0,0,9,0,1,7,0,605,0,0
"choked_inner_2","ZosCIoldB17",2017,"choked","choked_inner","2","na",6,1,3,6,4,0,10,55,6,0,0,0,0,3,218,3,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,1,2131,0,0
"choked_inner_1","ZosCIoldA17",2017,"choked","choked_inner","1","na",6,1,7,6,8,3,0,178,137,29,1,7,0,0,130,9,0,8,0,0,5,4,4,0,2,0,0,0,0,2,0,1,1246,0,0
"choked_sandspit_4","ZosCSSoldD17",2017,"choked","choked_sandspit","4","na",293,34,12,3,23,12,0,27,98,0,0,11,0,4,29,1,24,2,3,0,15,14,41,7,5,0,5,0,0,0,0,15,0,0,0
"choked_sandspit_2","ZosCSSoldB17",2017,"choked","choked_sandspit","2","na",155,12,18,6,7,0,0,124,99,0,2,25,0,0,50,4,3,47,0,0,13,12,95,1,0,0,5,1,0,0,0,0,29,0,0
"choked_sandspit_6","ZosCSSolFF17",2017,"choked","choked_sandspit","6","na",285,12,0,5,4,1,3,88,34,0,8,18,0,0,16,0,1,4,0,0,4,0,12,2,2,0,0,2,0,0,0,41,12,0,3
"choked_sandspit_1","ZosCSSoldA17",2017,"choked","choked_sandspit","1","na",181,19,11,16,7,12,5,26,329,0,13,24,0,4,17,14,17,3,5,0,41,4,150,3,33,0,3,0,1,0,0,14,1,0,0
"choked_sandspit_3","ZosCSSoldC17",2017,"choked","choked_sandspit","3","na",51,2,5,4,2,0,0,195,29,0,0,11,0,0,25,1,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,2,4,7,8
"pruth_bay_5","ZosPBSolEE17",2017,"pruth","pruth_bay","5","na",149,170,2,73,2,5,5,718,0,149,49,19,8,0,532,1,1,0,6,2,5,2,14,5,2,2,49,0,0,0,1,0,102,0,0
"pruth_bay_7","ZosPBSoldD17",2017,"pruth","pruth_bay","7","na",305,96,18,45,0,1,40,357,0,57,32,0,10,8,276,3,0,0,17,0,0,0,0,4,9,2,57,0,0,0,3,0,98,0,0
"pruth_bay_4","ZosPBSoldC17",2017,"pruth","pruth_bay","4","na",413,152,6,60,5,4,7,452,0,55,27,25,0,0,579,0,2,3,23,15,8,6,0,4,5,5,45,0,0,0,2,0,133,0,0
"pruth_bay_3","ZosPBSoldA17",2017,"pruth","pruth_bay","3","na",214,149,5,38,3,4,2,537,0,71,51,13,6,0,370,6,5,0,6,60,3,4,0,6,4,0,27,0,0,0,0,0,423,0,0
"pruth_bay_6","ZosPBSoldB17",2017,"pruth","pruth_bay","6","na",168,78,2,7,10,2,6,532,0,42,32,13,1,0,145,14,3,2,10,22,9,10,0,1,10,0,44,0,0,0,0,0,211,0,0
"pruth_pocket_1","ZosPBPoldA17",2017,"pruth","pruth_pocket","1","na",258,37,21,17,20,3,12,126,8,32,5,16,1,0,1103,0,10,5,3,7,4,3,21,0,0,8,0,0,0,7,1,0,275,2,0
"pruth_pocket_4","ZosPBPoldD17",2017,"pruth","pruth_pocket","4","na",63,10,11,237,1,1,2,180,0,26,0,0,0,3,875,0,2,0,2,23,3,0,0,0,1,22,7,0,3,0,0,0,348,0,0
"pruth_pocket_5","ZosPBPolEE17",2017,"pruth","pruth_pocket","5","na",343,251,60,43,4,14,6,167,0,111,19,4,10,24,854,0,23,3,4,36,6,0,24,0,0,26,6,1,2,0,0,0,86,0,3
"pruth_pocket_3","ZosPBPoldC17",2017,"pruth","pruth_pocket","3","na",240,114,13,32,115,6,0,194,1,28,21,15,10,0,702,5,0,0,7,17,0,0,36,0,10,14,7,5,1,5,5,2,117,0,0
"pruth_pocket_2","ZosPBPoldB17",2017,"pruth","pruth_pocket","2","na",211,118,22,127,6,0,15,194,0,29,6,0,0,4,663,0,3,0,9,26,0,0,13,0,2,2,6,0,0,2,1,17,107,0,0
"triquet_north_3","ZosTQNoldC17",2017,"triquet","triquet_north","3","na",432,229,127,31,9,8,8,16,147,6,58,18,9,18,0,28,8,91,0,0,0,53,22,12,34,0,0,28,8,31,0,15,0,0,113
"triquet_north_5","ZosTQNoldD17",2017,"triquet","triquet_north","5","na",359,130,89,33,53,6,44,184,33,9,16,30,25,69,112,97,46,58,17,5,17,15,43,31,8,0,0,20,3,10,1,26,0,9,231
"triquet_north_4","ZosTQNolEE17",2017,"triquet","triquet_north","4","na",209,190,38,31,90,7,37,100,133,7,7,25,15,21,10,85,19,59,26,56,16,8,0,16,6,0,0,8,5,18,0,24,3,0,99
"triquet_north_2","ZosTQNoldB17",2017,"triquet","triquet_north","2","na",314,252,109,43,19,2,13,11,155,14,25,34,7,20,9,17,6,105,22,3,3,39,29,18,23,19,0,38,7,31,0,9,1,11,71
"triquet_north_1","ZosTQNoldA17",2017,"triquet","triquet_north","1","na",120,288,26,14,116,4,0,84,78,9,263,10,4,46,227,23,3,154,17,32,0,24,3,23,7,0,0,30,0,7,0,15,0,0,127
