"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae_Granulosicoccus","Microtrichaceae_uncultured","Hyphomonadaceae_Litorimonas","Flavobacteriaceae_Maribacter","Verrucomicrobiales_DEV007_uncultured","Sphingomonadaceae_Altererythrobacter","Methylophilaceae_Methylotenera","Pirellulaceae_Blastopirellula","Rhodobacteraceae_Loktanella","Cellvibrionaceae_uncultured","Rhizobiaceae_Pseudahrensia","Thiotrichaceae_Cocleimonas","Flavobacteriaceae_Winogradskyella","Saprospiraceae_Lewinella","Rhodobacteraceae_Donghicola","Thiotrichaceae_Leucothrix","Micavibrionales_uncultured","Rubinisphaeraceae_uncultured","Methylophilaceae_Methylophilus","Sphingomonadaceae_Sphingorhabdus"
"goose_southeast_4","ZosGSEoldA",2015,"goose","goose_south_east","4","chirp",327,90,148,24,118,26,9,90,5,3,7,18,14,27,46,15,38,15,115,46
"goose_southeast_3","ZosGSEoldD",2015,"goose","goose_south_east","3","hiss",668,118,89,30,125,22,18,80,8,12,31,20,0,55,46,14,27,16,0,35
"goose_southeast_2","ZosGSEoldF",2015,"goose","goose_south_east","2","meow",282,102,80,102,41,32,36,75,5,37,20,6,13,27,28,173,55,41,0,39
"goose_southeast_1","ZosGSEoldE",2015,"goose","goose_south_east","1","moo",494,183,23,35,135,28,0,66,42,0,19,8,11,33,33,37,30,27,5,37
"goose_southwest_6","ZosGSWoldE",2015,"goose","goose_south_west","6","d",345,79,4,24,100,11,336,64,0,12,5,7,2,73,35,7,9,22,102,15
"goose_southwest_5","ZosGSWoldF",2015,"goose","goose_south_west","5","f",382,111,16,65,44,31,90,71,26,38,25,1,73,39,44,12,4,6,5,5
"goose_southwest_4","ZosGSWoldC",2015,"goose","goose_south_west","4","b",147,81,9,93,78,45,146,55,15,37,9,1,43,6,81,7,6,17,8,18
"goose_southwest_3","ZosGSWoldB",2015,"goose","goose_south_west","3","c",288,64,12,55,64,25,144,77,7,9,5,10,14,51,27,65,55,17,53,22
"goose_southwest_2","ZosGSWoldD",2015,"goose","goose_south_west","2","e",249,63,23,79,35,57,302,38,9,31,8,5,40,6,41,0,0,3,0,29
"goose_southwest_1","ZosGSWoldA",2015,"goose","goose_south_west","1","a",170,78,16,88,53,64,205,61,10,37,4,5,25,11,45,6,6,13,58,52
"mcmullins_north_6","ZosMcNoldF",2015,"mcmullins","mcmullins_north","6","b",145,147,89,104,8,38,9,28,16,2,18,29,12,37,43,9,34,7,14,5
"mcmullins_north_5","ZosMcNoldE",2015,"mcmullins","mcmullins_north","5","d",263,181,98,281,3,85,23,48,16,0,9,56,34,0,28,0,10,0,0,12
"mcmullins_north_4","ZosMcNoldD",2015,"mcmullins","mcmullins_north","4","e",171,161,100,161,11,61,7,35,9,2,31,10,118,51,55,8,17,8,1,9
"mcmullins_north_3","ZosMcNoldC",2015,"mcmullins","mcmullins_north","3","f",74,139,115,282,5,42,19,51,3,2,31,36,146,9,89,7,30,8,10,13
"mcmullins_north_2","ZosMcNoldB",2015,"mcmullins","mcmullins_north","2","c",127,136,116,199,17,53,41,20,11,0,17,47,68,11,50,13,21,6,8,6
"mcmullins_north_1","ZosMcNoldA",2015,"mcmullins","mcmullins_north","1","a",130,64,83,228,5,25,0,27,12,8,15,13,291,33,30,0,3,4,0,13
"mcmullins_south_6","ZosMcSoldF",2015,"mcmullins","mcmullins_south","6","c",201,224,64,35,43,45,18,46,13,36,17,20,22,16,19,57,5,14,0,28
"mcmullins_south_5","ZosMcSoldE",2015,"mcmullins","mcmullins_south","5","e",175,200,71,86,40,71,26,69,8,17,13,28,55,18,32,39,9,36,13,71
"mcmullins_south_4","ZosMcSoldD",2015,"mcmullins","mcmullins_south","4","f",136,180,87,119,41,79,14,33,17,25,22,16,101,33,31,44,13,20,0,54
"mcmullins_south_3","ZosMcSoldC",2015,"mcmullins","mcmullins_south","3","a",122,221,87,155,20,76,3,41,5,12,22,10,90,26,34,26,3,11,0,38
"mcmullins_south_2","ZosMcSoldB",2015,"mcmullins","mcmullins_south","2","d",239,146,71,62,37,69,7,52,8,85,22,11,40,21,25,26,0,19,0,44
"mcmullins_south_1","ZosMcSoldA",2015,"mcmullins","mcmullins_south","1","b",209,130,77,139,15,71,3,33,14,8,19,11,61,33,31,24,12,7,9,49
"triquet_north_6","ZosTQNoldA",2015,"triquet","triquet_north","6","a",261,272,54,279,18,37,21,107,20,6,35,388,68,1,63,88,3,2,0,41
"triquet_north_5","ZosTQNoldB",2015,"triquet","triquet_north","5","d",144,137,30,137,22,19,11,75,20,12,42,58,238,27,26,99,29,34,0,16
"triquet_north_4","ZosTQNoldC",2015,"triquet","triquet_north","4","c",285,179,47,295,32,16,4,149,7,14,59,80,107,22,45,113,9,12,4,25
"triquet_north_3","ZosTQNoldE",2015,"triquet","triquet_north","3","f",34,88,33,134,94,65,16,91,11,1,5,142,33,99,173,18,11,2,360,58
"triquet_north_2","ZosTQNoldD",2015,"triquet","triquet_north","2","b",274,175,76,232,14,15,0,109,10,12,45,11,146,42,67,13,7,12,18,28
"triquet_north_1","ZosTQNoldF",2015,"triquet","triquet_north","1","e",215,275,60,141,90,27,12,136,8,5,72,141,43,0,48,61,22,14,0,52
"triquet_south_6","ZosTQSoldA",2015,"triquet","triquet_south","6","e",305,148,57,46,16,31,18,68,22,88,7,2,18,48,21,2,0,22,0,6
"triquet_south_5","ZosTQSoldB",2015,"triquet","triquet_south","5","c",290,148,37,121,17,66,22,65,18,86,16,1,84,38,40,8,8,31,26,6
"triquet_south_4","ZosTQSoldC",2015,"triquet","triquet_south","4","a",523,110,39,71,17,53,16,105,4,50,0,0,18,25,15,0,5,21,0,23
"triquet_south_3","ZosTQSoldD",2015,"triquet","triquet_south","3","d",286,98,45,87,10,28,46,90,7,5,2,0,8,11,8,0,3,30,8,24
"triquet_south_2","ZosTQSoldF",2015,"triquet","triquet_south","2","f",257,53,51,26,143,20,48,46,0,2,0,12,22,0,5,8,12,9,53,16
"triquet_south_1","ZosTQSoldE",2015,"triquet","triquet_south","1","b",11,6,0,6,12,0,8,5,0,0,0,0,0,0,5,2,0,0,23,2
"choked_sandspit_7","ZosCSSoldH16",2016,"choked","choked_sandspit","7","na",68,144,138,25,158,0,0,15,57,14,40,104,81,0,20,0,40,18,0,0
"choked_sandspit_6","ZosCSSoldA16",2016,"choked","choked_sandspit","6","na",87,67,151,114,102,109,30,62,246,20,24,97,14,0,0,8,1,46,0,0
"choked_sandspit_5","ZosCSSoldB16",2016,"choked","choked_sandspit","5","na",50,201,168,76,58,114,19,29,56,28,11,116,0,0,27,0,0,39,0,7
"choked_sandspit_3","ZosCSSoldE16",2016,"choked","choked_sandspit","3","na",77,41,53,111,175,37,0,223,30,0,0,94,18,0,0,0,0,32,0,4
"choked_sandspit_1","ZosCSSoldC16",2016,"choked","choked_sandspit","1","na",16,0,94,22,70,14,60,16,54,0,92,34,0,0,0,8,5,9,0,0
"goose_southeast_7","ZosGSEoldH16",2016,"goose","goose_south_east","7","na",478,68,77,18,101,40,0,37,69,6,18,24,39,78,0,67,15,0,0,24
"goose_southeast_2","ZosGSEoldC16",2016,"goose","goose_south_east","2","na",171,39,2,15,70,11,0,27,9,0,19,136,21,5,10,64,52,0,28,9
"goose_southeast_1","ZosGSEoldD16",2016,"goose","goose_south_east","1","na",207,86,73,21,31,30,0,47,59,0,64,80,31,45,0,202,39,0,0,23
"goose_southwest_9","ZosGSWoldH16",2016,"goose","goose_south_west","9","na",265,181,36,45,105,26,0,23,21,0,0,192,27,55,108,46,17,9,38,0
"goose_southwest_7","ZosGSWoldC16",2016,"goose","goose_south_west","7","na",168,405,64,0,186,28,18,54,49,0,39,35,23,39,74,25,15,15,0,70
"goose_southwest_5","ZosGSWoldA16",2016,"goose","goose_south_west","5","na",210,364,39,0,123,10,0,69,89,0,29,105,0,91,63,64,26,3,26,24
"goose_southwest_2","ZosGSWoldG16",2016,"goose","goose_south_west","2","na",216,398,24,24,130,15,0,77,48,4,30,62,26,14,43,49,11,19,18,35
"mcmullins_north_na","ZosMcNoldA16",2016,"mcmullins","mcmullins_north","na","na",275,72,192,119,0,53,26,0,0,0,0,30,57,0,0,19,0,0,0,36
"mcmullins_north_na","ZosMcNoldD16",2016,"mcmullins","mcmullins_north","na","na",318,136,189,295,0,46,0,64,0,29,0,60,166,0,108,0,0,13,0,39
"mcmullins_south_na","ZosMcSoldB16",2016,"mcmullins","mcmullins_south","na","na",257,47,37,114,29,29,173,18,0,22,0,16,60,0,25,0,6,15,0,20
"mcmullins_south_na","ZosMcSoldC16",2016,"mcmullins","mcmullins_south","na","na",275,111,66,47,66,48,43,72,15,50,12,12,54,0,33,33,10,32,0,70
"mcmullins_south_na","ZosMcSoldD16",2016,"mcmullins","mcmullins_south","na","na",83,41,59,13,32,28,992,73,13,10,1,0,20,0,0,0,65,12,145,43
"mcmullins_south_na","ZosMcSoldE16",2016,"mcmullins","mcmullins_south","na","na",144,35,19,24,19,6,122,334,0,0,0,0,131,0,0,309,0,0,127,10
"pruth_bay_south_7","ZosPBSoldH16",2016,"pruth","pruth_bay","7","na",53,63,41,21,70,60,10,63,256,0,0,0,102,74,23,0,0,19,8,0
"pruth_bay_south_6","ZosPBSoldF16",2016,"pruth","pruth_bay","6","na",186,30,0,9,0,61,148,370,311,0,0,0,0,0,0,0,0,4,0,0
"pruth_bay_south_5","ZosPBSoldG16",2016,"pruth","pruth_bay","5","na",86,94,70,34,80,130,10,27,189,8,11,0,21,40,0,10,25,20,0,2
"pruth_bay_south_2","ZosPBSoldB16",2016,"pruth","pruth_bay","2","na",23,13,61,50,1,91,112,162,63,10,5,11,92,102,8,8,138,0,214,0
"pruth_pocket_9","ZosPBPoldC16",2016,"pruth","pruth_pocket","9","na",125,0,24,20,86,0,27,14,41,102,24,20,0,24,10,0,23,6,121,0
"pruth_pocket_3","ZosPBPoldD16",2016,"pruth","pruth_pocket","3","na",212,12,17,44,74,0,145,77,33,148,0,13,101,0,32,0,0,5,0,0
"pruth_pocket_2","ZosPBPoldH16",2016,"pruth","pruth_pocket","2","na",115,45,42,61,26,43,36,28,139,24,54,0,32,0,28,0,27,17,0,0
"pruth_pocket_1","ZosPBPoldF16",2016,"pruth","pruth_pocket","1","na",196,0,54,0,37,14,41,51,22,95,0,0,0,0,51,0,12,3,0,0
"triquet_north_9","ZosTQNoldC16",2016,"triquet","triquet_north","9","na",243,149,18,0,178,62,0,50,0,68,0,80,32,0,0,29,19,10,70,32
"triquet_north_8","ZosTQNoldB16",2016,"triquet","triquet_north","8","na",88,125,22,24,113,64,61,63,106,4,25,13,20,0,104,0,12,9,50,29
"triquet_north_4","ZosTQNoldF16",2016,"triquet","triquet_north","4","na",98,164,60,57,140,136,15,65,0,20,72,85,52,0,0,48,4,22,0,25
"triquet_north_1","ZosTQNoldE16",2016,"triquet","triquet_north","1","na",161,92,62,177,21,25,22,83,50,4,53,71,193,4,33,30,40,0,0,23
"triquet_south_9","ZosTQSoldD16",2016,"triquet","triquet_south","9","na",62,44,38,0,51,16,0,0,236,0,95,46,28,268,0,58,31,6,0,0
"triquet_south_8","ZosTQSoldC16",2016,"triquet","triquet_south","8","na",308,270,117,97,217,44,0,34,175,72,57,0,38,86,0,27,81,7,12,0
"triquet_south_6","ZosTQSoldF16",2016,"triquet","triquet_south","6","na",8,176,13,54,111,24,0,93,143,4,54,20,22,13,55,38,10,14,9,12
"triquet_south_4","ZosTQSoldB16",2016,"triquet","triquet_south","4","na",91,182,88,23,229,65,0,75,181,19,40,0,39,160,0,14,30,12,40,11
"triquet_south_3","ZosTQSoldH16",2016,"triquet","triquet_south","3","na",113,171,55,70,171,42,0,85,317,24,56,0,119,49,0,20,45,7,24,0
"triquet_south_2","ZosTQSoldA16",2016,"triquet","triquet_south","2","na",180,142,76,23,252,90,0,44,132,30,33,0,23,84,0,12,70,13,37,0
"triquet_south_1","ZosTQSoldG16",2016,"triquet","triquet_south","1","na",118,245,58,59,192,57,12,73,176,100,27,0,65,149,32,0,20,7,0,21
"choked_inner_4","ZosCIoldD17",2017,"choked","choked_inner","4","na",18,0,27,7,1,0,65,10,4,17,0,18,5,1,0,3,0,0,122,0
"choked_inner_3","ZosCIoldC17",2017,"choked","choked_inner","3","na",3,41,5,65,102,2,91,61,7,0,0,16,39,0,0,0,4,3,97,1
"choked_inner_2","ZosCIoldB17",2017,"choked","choked_inner","2","na",8,2,1,4,3,1,40,1,0,6,0,6,0,1,0,0,0,0,160,0
"choked_inner_1","ZosCIoldA17",2017,"choked","choked_inner","1","na",6,1,4,12,4,1,220,10,1,0,0,112,27,4,0,6,3,2,88,0
"choked_sandspit_4","ZosCSSoldD17",2017,"choked","choked_sandspit","4","na",211,35,6,4,14,8,25,28,0,0,3,81,0,1,2,1,11,0,25,2
"choked_sandspit_2","ZosCSSoldB17",2017,"choked","choked_sandspit","2","na",119,10,13,4,5,0,99,14,1,0,0,87,0,9,0,21,0,2,23,2
"choked_sandspit_6","ZosCSSolFF17",2017,"choked","choked_sandspit","6","na",236,12,0,4,2,0,74,2,6,1,12,43,0,1,0,15,1,0,8,0
"choked_sandspit_1","ZosCSSoldA17",2017,"choked","choked_sandspit","1","na",153,10,12,10,5,3,34,6,10,2,6,228,0,5,6,17,6,6,14,0
"choked_sandspit_3","ZosCSSoldC17",2017,"choked","choked_sandspit","3","na",49,3,5,4,1,0,173,3,1,1,4,27,0,0,0,6,0,0,19,0
"pruth_bay_south_5","ZosPBSolEE17",2017,"pruth","pruth_bay","5","na",93,136,2,52,2,5,537,8,32,4,17,0,117,37,0,12,2,0,401,2
"pruth_bay_south_7","ZosPBSoldD17",2017,"pruth","pruth_bay","7","na",217,62,8,44,0,17,360,3,20,44,17,0,41,87,0,0,0,0,160,4
"pruth_bay_south_4","ZosPBSoldC17",2017,"pruth","pruth_bay","4","na",269,114,5,37,3,0,485,7,24,14,5,0,49,26,0,21,0,5,383,0
"pruth_bay_south_3","ZosPBSoldA17",2017,"pruth","pruth_bay","3","na",156,112,3,34,2,2,469,5,37,11,0,0,61,32,0,2,3,0,306,5
"pruth_bay_south_6","ZosPBSoldB17",2017,"pruth","pruth_bay","6","na",126,49,4,10,6,3,346,12,22,16,5,0,35,46,0,10,3,2,86,3
"pruth_pocket_1","ZosPBPoldA17",2017,"pruth","pruth_pocket","1","na",197,23,26,23,11,3,81,6,7,9,4,7,32,11,29,18,2,1,778,0
"pruth_pocket_4","ZosPBPoldD17",2017,"pruth","pruth_pocket","4","na",38,4,8,151,3,7,114,0,0,2,1,0,20,12,31,0,3,0,536,0
"pruth_pocket_5","ZosPBPolEE17",2017,"pruth","pruth_pocket","5","na",237,191,44,29,2,31,191,9,20,10,8,0,74,23,44,1,8,0,551,9
"pruth_pocket_3","ZosPBPoldC17",2017,"pruth","pruth_pocket","3","na",160,68,5,24,73,13,147,11,20,0,48,0,24,27,166,14,4,0,503,5
"pruth_pocket_2","ZosPBPoldB17",2017,"pruth","pruth_pocket","2","na",162,82,20,106,8,8,158,2,9,5,7,0,19,44,43,0,0,0,544,0
"triquet_north_3","ZosTQNoldC17",2017,"triquet","triquet_north","3","na",323,156,104,19,10,21,12,7,50,9,6,116,2,0,92,14,7,0,0,9
"triquet_north_5","ZosTQNoldD17",2017,"triquet","triquet_north","5","na",264,89,51,26,44,64,122,20,17,23,11,24,4,0,50,17,3,0,87,13
"triquet_north_4","ZosTQNolEE17",2017,"triquet","triquet_north","4","na",153,137,29,26,72,15,72,15,12,29,18,107,6,1,53,16,9,0,7,6
"triquet_north_2","ZosTQNoldB17",2017,"triquet","triquet_north","2","na",282,187,94,29,16,23,8,7,27,22,15,123,13,0,68,25,3,1,5,10
"triquet_north_1","ZosTQNoldA17",2017,"triquet","triquet_north","1","na",82,189,23,16,93,33,72,8,175,0,16,58,14,3,60,18,4,5,194,7
"triquet_south_4","ZosTQSoldD17",2017,"triquet","triquet_south","4","na",831,252,7,0,128,15,124,14,13,18,2,2,6,4,54,106,0,3,30,8
"triquet_south_3","ZosTQSoldC17",2017,"triquet","triquet_south","3","na",773,232,52,30,106,19,137,6,13,10,27,19,3,0,71,9,13,1,84,12
"triquet_south_1","ZosTQSoldB17",2017,"triquet","triquet_south","1","na",288,485,71,13,149,47,3,19,21,16,38,2,13,6,188,3,12,1,32,23
"triquet_south_2","ZosTQSoldA17",2017,"triquet","triquet_south","2","na",377,353,35,8,124,11,21,12,24,15,13,4,8,6,68,16,4,2,305,13
"choked_inner_6","ZosCIoldF18",2018,"choked","choked_inner","6","na",10,6,39,24,9,0,75,0,0,0,43,37,0,13,0,9,0,2,25,0
"choked_inner_4","ZosCIoldD18",2018,"choked","choked_inner","4","na",30,0,7,9,0,7,666,0,0,0,5,17,0,3,0,3,0,0,0,0
"choked_inner_3","ZosCIoldC18",2018,"choked","choked_inner","3","na",9,7,37,19,36,1,336,4,14,0,217,37,0,5,24,0,0,2,12,10
"choked_inner_2","ZosCIoldB18",2018,"choked","choked_inner","2","na",18,5,73,9,0,7,293,0,20,0,101,27,0,0,5,1,0,0,0,0
"choked_inner_1","ZosCIoldA18",2018,"choked","choked_inner","1","na",9,1,16,6,2,1,367,0,2,19,7,23,0,10,0,4,0,0,16,0
"choked_sandspit_6","ZosCSSoldF18",2018,"choked","choked_sandspit","6","na",528,19,46,9,85,11,130,12,0,1,1,157,0,27,18,23,3,4,67,7
"choked_sandspit_5","ZosCSSoldE18",2018,"choked","choked_sandspit","5","na",213,152,31,4,19,23,36,3,0,10,14,224,0,6,51,8,1,4,6,2
"choked_sandspit_4","ZosCSSoldD18",2018,"choked","choked_sandspit","4","na",122,112,39,4,67,112,11,1,13,3,4,219,1,6,222,2,2,4,0,3
"choked_sandspit_3","ZosCSSoldC18",2018,"choked","choked_sandspit","3","na",107,4,26,9,12,1,330,5,0,19,0,23,4,9,0,14,0,4,48,19
"choked_sandspit_2","ZosCSSoldB18",2018,"choked","choked_sandspit","2","na",528,76,27,8,154,25,30,23,0,132,2,112,0,24,9,30,0,15,0,20
"choked_sandspit_1","ZosCSSoldA18",2018,"choked","choked_sandspit","1","na",160,101,115,21,21,64,16,2,0,27,23,243,0,6,38,11,1,2,4,6
"pruth_bay_south_6","ZosPBSoldF18",2018,"pruth","pruth_bay","6","na",270,35,12,26,0,9,120,69,38,9,0,0,57,165,21,2,0,5,209,0
"pruth_bay_south_5","ZosPBSoldE18",2018,"pruth","pruth_bay","5","na",177,25,7,11,0,13,727,25,0,29,0,0,18,44,8,0,1,4,69,0
"pruth_bay_south_4","ZosPBSoldD18",2018,"pruth","pruth_bay","4","na",73,31,5,23,0,19,162,12,0,22,0,0,93,71,0,0,0,5,0,3
"pruth_bay_south_3","ZosPBSoldC18",2018,"pruth","pruth_bay","3","na",133,1,39,10,0,8,185,32,0,3,0,0,13,8,3,0,2,2,494,0
"pruth_bay_south_2","ZosPBSoldB18",2018,"pruth","pruth_bay","2","na",218,15,6,18,0,6,225,29,8,16,0,0,43,62,23,0,1,4,173,0
"pruth_bay_south_1","ZosPBSoldA18",2018,"pruth","pruth_bay","1","na",399,53,9,11,3,8,292,62,1,82,0,0,29,20,18,4,3,8,273,4
"pruth_pocket_6","ZosPBPoldF18",2018,"pruth","pruth_pocket","6","na",470,14,137,49,4,40,15,58,21,38,4,0,13,11,17,15,9,0,142,2
"pruth_pocket_5","ZosPBPoldE18",2018,"pruth","pruth_pocket","5","na",391,10,21,25,0,4,283,1,11,4,2,2,11,2,13,4,4,0,489,0
"pruth_pocket_4","ZosPBPoldD18",2018,"pruth","pruth_pocket","4","na",122,3,10,4,3,1,175,1,0,2,2,0,2,7,6,1,2,0,119,0
"pruth_pocket_3","ZosPBPoldC18",2018,"pruth","pruth_pocket","3","na",1417,54,29,39,5,11,35,27,0,4,1,0,12,39,11,0,2,4,43,0
"pruth_pocket_2","ZosPBPoldB18",2018,"pruth","pruth_pocket","2","na",203,112,219,39,37,123,36,32,33,11,27,2,15,105,85,0,11,6,101,17
"pruth_pocket_1","ZosPBPoldA18",2018,"pruth","pruth_pocket","1","na",114,27,130,17,30,46,40,19,12,2,0,0,9,62,62,2,9,2,408,3
"triquet_north_6","ZosTQNoldF18",2018,"triquet","triquet_north","6","na",271,27,31,29,9,1,201,0,1,0,0,51,0,0,3,5,7,0,20,0
"triquet_north_5","ZosTQNoldE18",2018,"triquet","triquet_north","5","na",60,96,58,2,12,12,16,10,2,25,6,19,2,44,121,8,0,0,739,3
"triquet_north_4","ZosTQNoldD18",2018,"triquet","triquet_north","4","na",46,93,127,120,28,16,23,7,4,2,2,27,0,1,21,0,9,0,0,1
"triquet_north_3","ZosTQNoldC18",2018,"triquet","triquet_north","3","na",78,4,0,9,4,0,1108,2,0,0,0,12,0,0,4,17,1,0,184,0
"triquet_north_2","ZosTQNoldB18",2018,"triquet","triquet_north","2","na",226,352,22,32,63,22,38,18,14,20,14,32,15,3,181,15,0,0,36,34
"triquet_north_1","ZosTQNoldA18",2018,"triquet","triquet_north","1","na",619,22,10,89,101,0,324,15,0,6,0,56,3,0,8,0,0,3,29,0
"triquet_south_6","ZosTQSoldF18",2018,"triquet","triquet_south","6","na",859,368,10,12,38,13,22,13,0,36,19,1,7,19,37,8,0,3,34,38
"triquet_south_5","ZosTQSoldE18",2018,"triquet","triquet_south","5","na",507,368,19,11,38,14,40,30,20,30,30,5,9,21,78,6,0,7,82,18
"triquet_south_4","ZosTQSoldD18",2018,"triquet","triquet_south","4","na",35,28,1,59,1,1,275,0,3,1,0,5,0,0,7,2,0,0,570,0
"triquet_south_3","ZosTQSoldC18",2018,"triquet","triquet_south","3","na",163,136,12,10,25,0,31,12,21,20,37,2,18,25,38,68,3,4,67,8
"triquet_south_2","ZosTQSoldB18",2018,"triquet","triquet_south","2","na",535,242,0,6,29,1,38,12,0,47,12,3,8,25,25,7,0,3,21,10
"triquet_south_1","ZosTQSoldA18",2018,"triquet","triquet_south","1","na",331,260,30,24,46,7,38,16,40,41,27,3,41,38,8,9,8,2,38,20
