"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV193","Eukaryota","Cryptophyceae","Cryptomonadales","uncultured","uncultured_marine_eukaryote",NA,NA,NA
"ASV201","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellales",NA,NA,NA
"ASV203","Eukaryota","SAR","Stramenopiles","Ochrophyta","Fucales",NA,NA,NA
"ASV222","Eukaryota","Opisthokonta","Holozoa","Ichthyosporea","Ichthyophonae",NA,NA,NA
"ASV223","Eukaryota","SAR","Alveolata","Dinoflagellata","Thoracosphaeraceae",NA,NA,NA
"ASV229","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Thraustochytriaceae",NA,NA,NA
"ASV231","Eukaryota","SAR","Rhizaria","Cercozoa","Ebriacea",NA,NA,NA
"ASV237","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlamydomonadales",NA,NA,NA
"ASV243","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Craspedida",NA,NA,NA
"ASV245","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Ophiocordycipitaceae",NA,NA,NA
"ASV247","Eukaryota","SAR","Rhizaria","Cercozoa","Protaspidae",NA,NA,NA
"ASV250","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophysiales",NA,NA,NA
"ASV252","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","uncultured",NA,NA,NA
"ASV253","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea",NA,NA,NA
"ASV254","Eukaryota","SAR","Rhizaria","Cercozoa","Paradiniidae",NA,NA,NA
"ASV271","Eukaryota","SAR","Alveolata","Dinoflagellata","Incertae_Sedis",NA,NA,NA
"ASV286","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Prasinophytae",NA,NA,NA
"ASV300","Eukaryota","Picozoa","Picomonadida","Picomonadidae","Picomonas",NA,NA,NA
"ASV302","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Labyrinthulaceae",NA,NA,NA
"ASV304","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinasina",NA,NA,NA
"ASV311","Eukaryota","SAR","Stramenopiles","Ochrophyta","Sarcinochrysidales",NA,NA,NA
"ASV320","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Lobulomycetaceae",NA,NA,NA
"ASV324","Eukaryota","Incertae_Sedis","Telonema","uncultured_Telonema","uncultured_Telonema",NA,NA,NA
"ASV331","Eukaryota","SAR","Stramenopiles","Ochrophyta","Pedinellales",NA,NA,NA
"ASV343","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Gromochytriaceae",NA,NA,NA
"ASV350","Eukaryota","SAR","Rhizaria","Cercozoa","uncultured",NA,NA,NA
"ASV357","Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysomerophyceae",NA,NA,NA
"ASV360","Eukaryota","SAR","Rhizaria","Cercozoa","Thaumatomonadidae",NA,NA,NA
"ASV363","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Salpingoecidae",NA,NA,NA
"ASV364","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Pyramimonadales",NA,NA,NA
"ASV365","Eukaryota","Excavata","Discoba","Jakobida","uncultured",NA,NA,NA
"ASV369","Eukaryota","SAR","Alveolata","Ciliophora","Peritrichia",NA,NA,NA
"ASV382","Eukaryota","SAR","Rhizaria","Cercozoa","Incertae_Sedis",NA,NA,NA
"ASV423","Eukaryota","SAR","Rhizaria","Cercozoa","Paulinellidae",NA,NA,NA
"ASV426","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA
"ASV437","Eukaryota","SAR","Stramenopiles","Ochrophyta","Melosirids",NA,NA,NA
"ASV467","Eukaryota","Opisthokonta","Holozoa","Ichthyosporea","Abeoformidae",NA,NA,NA
"ASV468","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Clade_VII",NA,NA,NA
"ASV480","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae",NA,NA,NA
"ASV483","Eukaryota","Centrohelida","CV1-B1-93","uncultured_centroheliozoan","uncultured_centroheliozoan",NA,NA,NA
"ASV491","Eukaryota","SAR","Alveolata","Ciliophora","Scuticociliatia",NA,NA,NA
"ASV494","Eukaryota","Incertae_Sedis","Telonema","uncultured_eukaryote","uncultured_eukaryote",NA,NA,NA
"ASV518","Eukaryota","SAR","Alveolata","Ciliophora","Choreotrichia",NA,NA,NA
"ASV550","Eukaryota","SAR","Alveolata","Dinoflagellata","Peridiniphycidae",NA,NA,NA
"ASV553","Eukaryota","Centrohelida","H15-6","uncultured_eukaryote","uncultured_eukaryote",NA,NA,NA
"ASV564","Eukaryota","SAR","Alveolata","Ciliophora","Cyrtophoria",NA,NA,NA
"ASV575","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","Haliphthoros",NA,NA,NA
"ASV581","Eukaryota","SAR","Rhizaria","Cercozoa","Novel_Clade_Gran-3",NA,NA,NA
"ASV589","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Aspergillaceae",NA,NA,NA
"ASV605","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Stephanoecidae",NA,NA,NA
"ASV607","Eukaryota","SAR","Rhizaria","Cercozoa","Chlorarachniophyta",NA,NA,NA
"ASV609","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Metschnikowiaceae",NA,NA,NA
"ASV630","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Dothideomycetes",NA,NA,NA
"ASV638","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Acanthoecidae",NA,NA,NA
"ASV639","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Dolichomastigales",NA,NA,NA
"ASV642","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","uncultured",NA,NA,NA
"ASV645","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Cladosporiaceae",NA,NA,NA
"ASV673","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Rhizopodaceae",NA,NA,NA
"ASV682","Eukaryota","Cryptophyceae","Kathablepharidae","Leucocryptos","uncultured_eukaryote",NA,NA,NA
"ASV684","Eukaryota","SAR","Alveolata","Ciliophora","Prostomatea",NA,NA,NA
"ASV685","Eukaryota","Incertae_Sedis","Telonema","uncultured_marine_eukaryote","uncultured_marine_eukaryote",NA,NA,NA
"ASV689","Eukaryota","SAR","Alveolata","Dinoflagellata","Kareniaceae",NA,NA,NA
"ASV692","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Haptolina",NA,NA,NA
"ASV693","Eukaryota","SAR","Alveolata","Ciliophora","Oligohymenophorea",NA,NA,NA
"ASV720","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Imantonia",NA,NA,NA
"ASV750","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","Halophytophthora",NA,NA,NA
"ASV756","Eukaryota","SAR","Alveolata","Ciliophora","Euplotia",NA,NA,NA
"ASV760","Eukaryota","Cryptophyceae","Cryptomonadales","uncultured","Teleaulax_acuta",NA,NA,NA
"ASV785","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Cyphellophoraceae",NA,NA,NA
"ASV788","Eukaryota","Amoebozoa","Discosea","Flabellinia","Dactylopodida",NA,NA,NA
"ASV792","Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae",NA,NA,NA
"ASV794","Eukaryota","SAR","Stramenopiles","MAST-1","MAST-1C",NA,NA,NA
"ASV800","Eukaryota","SAR","Rhizaria","Cercozoa","Peregriniidae",NA,NA,NA
"ASV801","Eukaryota","Haptophyta","Prymnesiophyceae","Phaeocystis","Phaeocystis_pouchetii",NA,NA,NA
"ASV804","Eukaryota","SAR","Rhizaria","Cercozoa","Spongomonadida",NA,NA,NA
"ASV835","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulina",NA,NA,NA
"ASV840","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysocampanula",NA,NA,NA
"ASV843","Eukaryota","Picozoa","Picomonadida","uncultured_eukaryote","uncultured_eukaryote",NA,NA,NA
"ASV863","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Cladophorales",NA,NA,NA
"ASV864","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Saccharomycetaceae",NA,NA,NA
"ASV867","Eukaryota","SAR","Alveolata","Dinoflagellata","uncultured",NA,NA,NA
"ASV869","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Halosphaeriaceae",NA,NA,NA
"ASV877","Eukaryota","SAR","Rhizaria","Cercozoa","uncultured_eukaryote",NA,NA,NA
"ASV898","Eukaryota","SAR","Alveolata","Ciliophora","Hypotrichia",NA,NA,NA
"ASV915","Eukaryota","SAR","Alveolata","uncultured","uncultured_eukaryote",NA,NA,NA
"ASV922","Eukaryota","SAR","Alveolata","Apicomplexa","Novel_Apicomplexa_Class_2",NA,NA,NA
"ASV924","Eukaryota","Excavata","Discoba","Discicristata","Diplonemea",NA,NA,NA
"ASV942","Eukaryota","SAR","Rhizaria","Cercozoa","Uncultured_Cercozoa",NA,NA,NA
"ASV965","Eukaryota","SAR","Rhizaria","Cercozoa","Cryomonadida",NA,NA,NA
"ASV1008","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Rhizophydiaceae",NA,NA,NA
"ASV1034","Eukaryota","SAR","Alveolata","Ciliophora","Haptoria",NA,NA,NA
"ASV1039","Eukaryota","SAR","Stramenopiles","MAST-2","uncultured_marine_eukaryote",NA,NA,NA
"ASV1041","Eukaryota","SAR","Stramenopiles","MAST-4","uncultured_stramenopile",NA,NA,NA
"ASV1046","Eukaryota","SAR","Rhizaria","Cercozoa","Basal_Group_T",NA,NA,NA
"ASV1050","Eukaryota","Incertae_Sedis","Ancyromonadida","Ancyromonas","Planomonas_micra",NA,NA,NA
"ASV1072","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","OLI51059",NA,NA,NA
"ASV1075","Eukaryota","Cryptophyceae","Kathablepharidae","Katablepharis","Katablepharis_japonica",NA,NA,NA
"ASV1088","Eukaryota","SAR","Alveolata","uncultured_eukaryote","uncultured_eukaryote",NA,NA,NA
"ASV1107","Eukaryota","SAR","Alveolata","Ciliophora","Litostomatea",NA,NA,NA
"ASV1141","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Cryptomycota",NA,NA,NA
"ASV1144","Eukaryota","Picozoa","uncultured_phototrophic_eukaryote","uncultured_phototrophic_eukaryote","uncultured_phototrophic_eukaryote",NA,NA,NA
"ASV1155","Eukaryota","Opisthokonta","Nucletmycea","Fungi","uncultured",NA,NA,NA
"ASV1162","Eukaryota","SAR","Alveolata","Ciliophora","Mesodiniidae",NA,NA,NA
"ASV1168","Eukaryota","SAR","Alveolata","Ciliophora","Hypocomatida",NA,NA,NA
"ASV1179","Eukaryota","SAR","Rhizaria","Cercozoa","Marimonadida",NA,NA,NA
"ASV1192","Eukaryota","SAR","Stramenopiles","Ochrophyta","Ochromonadales",NA,NA,NA
"ASV1196","Eukaryota","SAR","Alveolata","Apicomplexa","Eimeriorina",NA,NA,NA
"ASV1219","Eukaryota","SAR","Rhizaria","Retaria","Nassellaria",NA,NA,NA
"ASV1236","Eukaryota","Opisthokonta","Holozoa","Ichthyosporea","Dermocystida",NA,NA,NA
"ASV1249","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Debaryomycetaceae",NA,NA,NA
"ASV1263","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea",NA,NA,NA
"ASV1294","Eukaryota","SAR","Rhizaria","Cercozoa","Imbricatea",NA,NA,NA
"ASV1344","Eukaryota","Haptophyta","Pav3","uncultured_haptophyte","uncultured_haptophyte",NA,NA,NA
"ASV1361","Eukaryota","SAR","Stramenopiles","MAST-1","MAST-1B",NA,NA,NA
"ASV1362","Eukaryota","SAR","Stramenopiles","Incertae_Sedis","Pirsonia",NA,NA,NA
"ASV1373","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Trebouxiophyceae",NA,NA,NA
"ASV1374","Eukaryota","SAR","Alveolata","Ciliophora","Apostomatia",NA,NA,NA
"ASV1393","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Chytridiomycetes",NA,NA,NA
"ASV1417","Eukaryota","Opisthokonta","Aphelidea","uncultured","uncultured_eukaryote",NA,NA,NA
"ASV1419","Eukaryota","SAR","Alveolata","Apicomplexa","Cryptosporida",NA,NA,NA
"ASV1422","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Sclerotiniaceae",NA,NA,NA
"ASV1439","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Codosigidae",NA,NA,NA
"ASV1440","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Pleosporaceae",NA,NA,NA
"ASV1467","Eukaryota","SAR","Stramenopiles","MAST-6","uncultured_marine_eukaryote",NA,NA,NA
"ASV1489","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA
"ASV1492","Eukaryota","Cryptophyceae","Cryptomonadales","Rhodomonas","Rhodomonas_falcata",NA,NA,NA
"ASV1501","Eukaryota","Cryptophyceae","Cryptomonadales","Rhodomonas","Rhodomonas_sp._M1630",NA,NA,NA
"ASV1506","Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Codonosigidae",NA,NA,NA
"ASV1513","Eukaryota","Picozoa","uncultured_biliphyte","uncultured_biliphyte","uncultured_biliphyte",NA,NA,NA
"ASV1557","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Lobulomycetales",NA,NA,NA
"ASV1566","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophytina",NA,NA,NA
"ASV1570","Eukaryota","Cryptophyceae","Cryptomonadales","uncultured_marine_eukaryote","uncultured_marine_eukaryote",NA,NA,NA
"ASV1589","Eukaryota","SAR","Alveolata","Protalveolata","Colpodellida",NA,NA,NA
"ASV1592","Eukaryota","Picozoa","uncultured_marine_eukaryote","uncultured_marine_eukaryote","uncultured_marine_eukaryote",NA,NA,NA
