query,Class,Family,Genus,Infraclass,Infraorder,Kingdom,Order,Parvorder,Phylum,Section,Species,Subclass,Subfamily,Suborder,Subphylum,Subsection,Subterclass,Superclass,Superfamily,Superorder,Tribe
Neogastropoda,Gastropoda,NA,NA,NA,NA,Animalia,Neogastropoda,NA,Mollusca,NA,NA,Caenogastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nereididae,Polychaeta,Nereididae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Nudibranchia,Gastropoda,NA,NA,Euthyneura,NA,Animalia,Nudibranchia,NA,Mollusca,NA,NA,Heterobranchia,NA,NA,NA,NA,Ringipleura,NA,NA,Nudipleura,NA
Ophiuroidea,Ophiuroidea,NA,NA,NA,NA,Animalia,NA,NA,Echinodermata,NA,NA,NA,NA,NA,Asterozoa,NA,NA,NA,NA,NA,NA
Ostracoda,Ostracoda,NA,NA,NA,NA,Animalia,NA,NA,Arthropoda,NA,NA,NA,NA,NA,Crustacea,NA,NA,Oligostraca,NA,NA,NA
Paguridae,Malacostraca,Paguridae,NA,NA,Anomura,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Pleocyemata,Crustacea,NA,NA,Multicrustacea,Paguroidea,Eucarida,NA
Pagurus,Malacostraca,Paguridae,Pagurus,NA,Anomura,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Pleocyemata,Crustacea,NA,NA,Multicrustacea,Paguroidea,Eucarida,NA
Paleanotus bellis,Polychaeta,Chrysopetalidae,Paleanotus,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,Paleanotus bellis,Errantia,Chrysopetalinae,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Paranthura,Malacostraca,Paranthuridae,Paranthura,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Cymothoida,Crustacea,NA,NA,Multicrustacea,Anthuroidea,Peracarida,NA
Pentidotea,Malacostraca,Idoteidae,Pentidotea,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Valvifera,Crustacea,NA,NA,Multicrustacea,NA,Peracarida,NA
Pentidotea wosnesenskii,Malacostraca,Idoteidae,Pentidotea,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,Pentidotea wosnesenskii,Eumalacostraca,NA,Valvifera,Crustacea,NA,NA,Multicrustacea,NA,Peracarida,NA
Pholoidae,Polychaeta,Pholoidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA
Photis,Malacostraca,Photidae,Photis,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,NA
Phyllaplysia taylori,Gastropoda,Aplysiidae,Phyllaplysia,Euthyneura,NA,Animalia,Aplysiida,NA,Mollusca,NA,Phyllaplysia taylori,Heterobranchia,NA,NA,NA,NA,Tectipleura,NA,Aplysioidea,NA,NA
Phyllodocidae,Polychaeta,Phyllodocidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Phyllodociformia,NA,NA,NA,NA,NA,NA,NA
Pilargidae,Polychaeta,Pilargidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Platynereis bicanaliculata,Polychaeta,Nereididae,Platynereis,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,Platynereis bicanaliculata,Errantia,Nereidinae,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Pleocyemata,Malacostraca,NA,NA,NA,NA,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Pleocyemata,Crustacea,NA,NA,Multicrustacea,NA,Eucarida,NA
Pleustidae,Malacostraca,Pleustidae,NA,NA,Amphilochida,Animalia,Amphipoda,Amphilochidira,Arthropoda,NA,NA,Eumalacostraca,NA,Amphilochidea,Crustacea,NA,NA,Multicrustacea,Amphilochoidea,Peracarida,NA
Podoceridae,Malacostraca,Podoceridae,NA,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Caprelloidea,Peracarida,NA
Polychaeta,Polychaeta,NA,NA,NA,NA,Animalia,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polynoidae,Polychaeta,Polynoidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA
Pontogeneia,Malacostraca,Pontogeneiidae,Pontogeneia,NA,Hadziida,Animalia,Amphipoda,Hadziidira,Arthropoda,NA,Pontogeneia rostrata,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Calliopioidea,Peracarida,NA
Pontogeneiidae,Malacostraca,Pontogeneiidae,NA,NA,Hadziida,Animalia,Amphipoda,Hadziidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Calliopioidea,Peracarida,NA
