date,site,quadrat #,epi blade #,epi blade length (cm),epi blade width (cm) ,sheath length (cm),epi foil weight (g),epi wet weight (g),epiphyte dry weight (g),GF/C weight (g),GF/C with dry sample (g),macroalgae species,macroalgae wet weight (g),macroalgae foil (g),macroalgae dry (g),notes
23-Jun-18,sand spit,3,5,121.8,1,25,2.35,15.36,4.25,1.374,1.3888,Smithora,9.12,1.3,2.28,
23-Jun-18,sand spit,4,6,82.4,0.9,15.6,2.75,12.85,4.02,1.371,1.3918,Smithora,5.25,1.12,1.55,
23-Jun-18,sand spit,5,4,126,0.8,32,2.52,14.79,3.99,1.3844,1.4074,Smithora,5.07,1.2,1.52,
23-Jun-18,sand spit,6,4,136.2,1,27.4,2.54,15.78,4.44,1.3873,1.4109,Smithora,7.42,1.4,2,
23-Jun-18,sand spit,7,6,152,0.9,25,2.77,23.6,5.51,1.3768,1.4082,Smithora,14.09,1.24,2.77,
23-Jun-18,sand spit,8,5,156.6,0.9,38.4,2.76,15.67,4.27,1.3743,1.3969,Smithora,5.29,1.06,1.48,
23-Jun-18,sand spit,9,5,133.5,0.9,30,3.07,14.98,4.54,1.3874,1.4078,Smithora,10.1,1.15,NA,
01-Jul-18,triquet north,1,4,39.8,0.5,9.3,2.25,4.34,2.59,1.3807,1.3969,NA,NA,NA,NA,
01-Jul-18,triquet north,2,5,104.5,0.7,23.5,1.54,7.66,2.25,1.3867,1.4006,NA,NA,NA,NA,
01-Jul-18,triquet north,3,6,140.5,1,25.6,2.09,20.4,4.92,1.378,1.4025,NA,NA,NA,NA,
01-Jul-18,triquet north,4,6,143.5,1,31.5,2.65,18.48,4.71,1.3892,1.4082,NA,NA,NA,NA,
01-Jul-18,triquet north,5,4,79,0.7,16.5,2.08,7,2.75,1.3748,1.3923,NA,NA,NA,NA,
01-Jul-18,triquet north,6,6,146.8,0.9,31.2,2.12,20.35,4.8,1.3801,1.4004,NA,NA,NA,NA,
01-Jul-18,triquet north,7,5,54.8,0.5,15,1.36,3.96,1.74,1.3754,1.3901,NA,NA,NA,NA,
01-Jul-18,triquet north,8,5,144,1,35,2.85,19.27,4.98,1.3837,1.389,NA,NA,NA,NA,
01-Jul-18,triquet north,9,5,104.5,0.9,22.5,5.44,15.11,6.6,1.3892,1.3986,NA,NA,NA,NA,
02-Jul-18,triquet bay,1,6,115.5,0.9,22.5,2.61,15.35,4.22,1.3755,1.3939,NA,NA,NA,NA,
02-Jul-18,triquet bay,2,6,85.4,0.7,14.5,2.55,10.1,3.41,1.3719,1.3871,NA,NA,NA,NA,
02-Jul-18,triquet bay,3,5,128.9,0.6,28.6,2.39,11.78,3.81,1.3693,1.3782,NA,NA,NA,NA,
02-Jul-18,triquet bay,4,5,80,0.8,17.2,2.36,9.84,3.37,1.3981,1.4161,NA,NA,NA,NA,
02-Jul-18,triquet bay,5,6,98.5,0.9,22,2.41,16.7,4.24,1.3804,1.3882,NA,NA,NA,NA,
02-Jul-18,triquet bay,6,4,44.5,0.7,11,1.83,5.12,2.26,1.3771,1.3841,NA,NA,NA,NA,
02-Jul-18,triquet bay,7,5,55,0.5,10.5,2.24,5.96,2.74,1.3732,1.3894,NA,NA,NA,NA,
02-Jul-18,triquet bay,8,6,109.5,0.8,21.5,2.47,14.35,4.29,1.391,1.4084,NA,NA,NA,NA,
02-Jul-18,triquet bay,9,4,62,0.6,13.3,2.68,7.05,3.25,1.3761,1.3965,NA,NA,NA,NA,
