"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Bacillariophyceae","Thraustochytriaceae","Peronosporomycetes_uncultured","Prorocentrales","Fragilariales","Cercozoa_Novel_Clade_Gran-1","Monogononta","Vampyrellidae","Suctoria","Peritrichia","Salpingoecidae","Coscinodiscophytina","Craspedida","Labyrinthulaceae","Heterotrichea","Ulotrichales","Centrohelida_H15-6","Chytridiaceae","Pedinellales","Dactylopodida","Centrohelida_CV1-B1-93","Lobulomycetaceae","Chrysomerophyceae","Cercozoa_Incertae_Sedis","Cercozoa_Novel_Clade_Gran-3","Melosirids","Oligohymenophorea","Sarcinochrysidales","Cercozoa","Cyrtophoria","Olpidiopsis","Copepoda","Prymnesium","Gymnodiniphycidae"
"pruth_bay_7","ZosPBSoldH16",2016,"pruth","pruth_bay","7",104,98,1,0,0,51,0,41,22,0,25,23,9,4,26,0,23,0,0,14,6,8,0,4,0,2,0,0,1,0,0,43,6,205
"pruth_pocket_5","ZosPBPoldB16",2016,"pruth","pruth_pocket","5",36,8,9,112,163,22,48,24,84,0,4,40,5,0,0,352,2,14,0,0,0,2,1,2,0,0,0,0,0,0,0,14,0,33
"pruth_pocket_9","ZosPBPoldC16",2016,"pruth","pruth_pocket","9",57,0,3,0,68,1,0,8,6,0,20,13,9,2,0,0,0,0,0,8,0,1,0,7,0,0,0,0,0,7,0,50,0,0
"pruth_pocket_3","ZosPBPoldD16",2016,"pruth","pruth_pocket","3",217,3,5,52,41,34,0,0,18,16,12,142,7,0,14,10,2,0,0,3,6,0,6,33,0,0,0,0,0,1,0,43,293,20
"pruth_pocket_7","ZosPBPoldE16",2016,"pruth","pruth_pocket","7",12,1,6,55,358,0,0,0,114,0,1,28,0,0,0,354,0,11,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,16
"pruth_pocket_1","ZosPBPoldF16",2016,"pruth","pruth_pocket","1",399,0,7,7,91,12,0,11,6,0,12,263,27,1,0,1,0,0,0,5,19,0,0,39,0,0,0,0,11,2,0,6,14,28
"pruth_pocket_4","ZosPBPoldG16",2016,"pruth","pruth_pocket","4",52,3,4,0,271,23,0,0,98,0,9,191,17,0,0,36,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,94,0,117
"pruth_pocket_2","ZosPBPoldH16",2016,"pruth","pruth_pocket","2",25,80,26,0,143,125,3,33,45,7,83,66,102,0,0,0,0,0,0,33,18,0,11,17,0,0,0,0,0,0,0,65,0,0
"triquet_north_2","ZosTQNoldA16",2016,"triquet","triquet_north","2",0,2,32,730,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,153
"triquet_north_8","ZosTQNoldB16",2016,"triquet","triquet_north","8",3,10,6,724,14,4,35,2,3,0,0,0,0,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,121
