"","name","phylum","class","order","family","genus","species"
"84","Pilargidae","Annelida","Polychaeta","Phyllodocida","Pilargidae",NA,NA
"85","Platynereis bicanaliculata","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Platynereis bicanaliculata"
"86","Pleocyemata","Arthropoda","Malacostraca","Decapoda",NA,NA,NA
"87","Pleustidae","Arthropoda","Malacostraca","Amphipoda","Pleustidae",NA,NA
"88","Podoceridae","Arthropoda","Malacostraca","Amphipoda","Podoceridae",NA,NA
"89","Polychaeta","Annelida","Polychaeta",NA,NA,NA,NA
"90","Polynoidae","Annelida","Polychaeta","Phyllodocida","Polynoidae",NA,NA
"91","Pontogeneia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Pontogeneia",NA
"92","Porcellidium","Arthropoda","Maxillopoda","Harpacticoida","Porcellidiidae","Porcellidium",NA
"93","Pugettia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia",NA
"94","Pycnogonida","Arthropoda","Pycnogonida",NA,NA,NA,NA
"95","Serpulidae","Annelida","Polychaeta","Sabellida","Serpulidae",NA,NA
"96","Solariella","Mollusca","Gastropoda","Archaeogastropoda","Trochidae","Solariella",NA
"97","Solasteridae","Echinodermata","Asteroidea","Valvatida","Solasteridae",NA,NA
"98","Sphaeromatidae","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae",NA,NA
"99","Stauromedusae","Cnidaria","Staurozoa","Stauromedusae",NA,NA,NA
"100","Stenothoidae","Arthropoda","Malacostraca","Amphipoda","Stenothoidae",NA,NA
"101","Strongylocentrotus","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus",NA
"102","Syllidae","Annelida","Polychaeta","Phyllodocida","Syllidae",NA,NA
"103","Tegula","Mollusca","Gastropoda","Archaeogastropoda","Trochidae","Tegula",NA
"104","Terebellidae","Annelida","Polychaeta","Terebellida","Terebellidae",NA,NA
"105","Thorlaksonius","Arthropoda","Malacostraca","Amphipoda","Pleustidae","Thorlaksonius",NA
"106","Veneridae","Mollusca","Bivalvia","Veneroida","Veneridae",NA,NA
"107","Veneroida","Mollusca","Bivalvia","Veneroida",NA,NA,NA
