"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV1989","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA,NA
"ASV2000","Archaea","Nanoarchaeaeota","Woesearchaeia","unidentified_archaeon","unidentified_archaeon",NA,NA,NA
"ASV2015","Bacteria","Latescibacteria","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV2041","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","uncultured",NA,NA,NA
"ASV2062","Bacteria","Acidobacteria","Subgroup_9","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV2068","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured_bacterium",NA,NA,NA
"ASV2119","Bacteria","Chloroflexi","Anaerolineae","uncultured","uncultured_bacterium",NA,NA,NA
"ASV2135","Bacteria","Cyanobacteria","Sericytochromatia","uncultured_soil_bacterium","uncultured_soil_bacterium",NA,NA,NA
"ASV2137","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","marine_gamma_proteobacterium_HTCC2180",NA,NA,NA
"ASV2145","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA,NA
"ASV2155","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","uncultured",NA,NA,NA
"ASV2164","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","uncultured_Verrucomicrobia_bacterium",NA,NA,NA
"ASV2196","Bacteria","Planctomycetes","OM190","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV2215","Bacteria","Aegiribacteria","uncultured_sediment_bacterium","uncultured_sediment_bacterium","uncultured_sediment_bacterium",NA,NA,NA
"ASV2247","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","uncultured_delta_proteobacterium",NA,NA,NA
"ASV2282","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA,NA
"ASV2326","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","uncultured_sediment_bacterium",NA,NA,NA
"ASV2341","Bacteria","Proteobacteria","Gammaproteobacteria","B2M28","uncultured_sediment_bacterium",NA,NA,NA
"ASV2358","Archaea","Asgardaeota","Lokiarchaeia","uncultured_archaeon","uncultured_archaeon",NA,NA,NA
"ASV2386","Bacteria","Chloroflexi","Anaerolineae","SJA-15","uncultured_soil_bacterium",NA,NA,NA
"ASV2406","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","unidentified_proteobacterium",NA,NA,NA
"ASV2451","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae",NA,NA,NA
"ASV2482","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae",NA,NA,NA
"ASV2485","Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales","BSV26",NA,NA,NA
"ASV2493","Bacteria","Proteobacteria","Alphaproteobacteria","NRL2","Lutibaculum_sp.",NA,NA,NA
"ASV2516","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA,NA
"ASV2517","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"ASV2522","Bacteria","Cyanobacteria","Oxyphotobacteria","uncultured","uncultured_cyanobacterium",NA,NA,NA
"ASV2534","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","uncultured_bacterium",NA,NA,NA
"ASV2613","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","uncultured_marine_bacterium",NA,NA,NA
"ASV2643","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae",NA,NA,NA
"ASV2663","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","uncultured_delta_proteobacterium",NA,NA,NA
"ASV2671","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae",NA,NA,NA
"ASV2683","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_IV",NA,NA,NA
"ASV2725","Bacteria","Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae",NA,NA,NA
"ASV2755","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured",NA,NA,NA
"ASV2762","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA
"ASV2778","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA,NA
"ASV2782","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","uncultured_sediment_bacterium",NA,NA,NA
"ASV2796","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III",NA,NA,NA
"ASV2801","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae",NA,NA,NA
"ASV2836","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","uncultured_bacterium",NA,NA,NA
"ASV2867","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae",NA,NA,NA
"ASV2874","Bacteria","Acidobacteria","Aminicenantia","Aminicenantales","uncultured_bacterium",NA,NA,NA
"ASV2992","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodopirillaceae",NA,NA,NA
"ASV3025","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA,NA,NA
"ASV3047","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae",NA,NA,NA
"ASV3057","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","uncultured",NA,NA,NA
"ASV3074","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,NA
"ASV3099","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA,NA,NA
"ASV3114","Bacteria","Proteobacteria","Gammaproteobacteria","MBAE14","gamma_proteobacterium_IMCC2047",NA,NA,NA
"ASV3134","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,NA
"ASV3217","Bacteria","Acidobacteria","Subgroup_26","uncultured_marine_bacterium","uncultured_marine_bacterium",NA,NA,NA
"ASV3220","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae",NA,NA,NA
