SampleID,ZosCFIoldB16,ZosCFIoldF16,ZosCSSoldC16,ZosCSSoldF16,ZosCSSoldE16,ZosCSSoldB16,ZosCSSoldA16,ZosCSSoldG16,ZosGSWoldF16,ZosGSWoldD16,ZosGSWoldA16,ZosGSWoldB16,ZosGSWoldG16,ZosGSWoldC16,ZosGSWoldH16,ZosPBSoldA16,ZosPBSoldB16,ZosPBSoldC16,ZosPBSoldD16,ZosPBSoldG16,ZosPBSoldF16,ZosPBSoldH16,ZosPBSoldE16,ZosPBPoldH16,ZosPBPoldB16,ZosPBPoldA16,ZosPBPoldE16,ZosPBPoldF16,ZosPBPoldC16,ZosPBPoldD16,ZosTQNoldG16,ZosTQNoldH16,ZosTQNoldF16,ZosTQNoldD16,ZosTQNoldB16,ZosTQNoldE16,ZosTQNoldC16,ZosTQNoldA16,ZosTQSoldG16,ZosTQSoldA16,ZosTQSoldH16,ZosTQSoldB16,ZosTQSoldF16,ZosTQSoldC16,ZosTQSoldD16
ZosGSWoldA16,38455,38455,39003,39003,39003,39003,39003,39003,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldB16,38455,38455,39003,39003,39003,39003,39003,39003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldG16,38455,38455,39003,39003,39003,39003,39003,39003,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldC16,38455,38455,39003,39003,39003,39003,39003,39003,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldH16,38455,38455,39003,39003,39003,39003,39003,39003,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldA16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldB16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldC16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldD16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldG16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldF16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldH16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldE16,9780,9780,9378,9378,9378,9378,9378,9378,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldH16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldB16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldA16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldE16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldF16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldC16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldD16,9896,9896,9514,9514,9514,9514,9514,9514,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldG16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldH16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldF16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldD16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldE16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldC16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldA16,19207,19207,19704,19704,19704,19704,19704,19704,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ZosTQSoldG16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,NA,NA,NA,NA,NA,NA
ZosTQSoldA16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,NA,NA,NA,NA,NA
ZosTQSoldH16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,NA,NA,NA,NA
ZosTQSoldB16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,NA,NA,NA
ZosTQSoldF16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,NA,NA
ZosTQSoldC16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,NA
ZosTQSoldD16,18181,18181,18661,18661,18661,18661,18661,18661,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,0
