sample_names(all_years_16S_filtered),year,growth
ZosPBPoldA16,2016,old
ZosPBPoldA17,2017,old
ZosPBPoldA18,2018,old
ZosPBPoldB16,2016,old
ZosPBPoldB17,2017,old
ZosPBPoldB18,2018,old
ZosPBPoldC16,2016,old
ZosPBPoldC17,2017,old
ZosPBPoldC18,2018,old
ZosPBPoldD16,2016,old
ZosPBPoldD17,2017,old
ZosPBPoldD18,2018,old
ZosPBPoldE16,2016,old
ZosPBPoldE18,2018,old
ZosPBPoldF16,2016,old
ZosPBPoldF18,2018,old
ZosPBPoldH16,2016,old
ZosPBPolEE17,2017,old
ZosPBPrhrA18,2018,NA
ZosPBPrhrB17,2017,NA
ZosPBPrhrB18,2018,NA
ZosPBPrhrC17,2017,NA
ZosPBPrhrC18,2018,NA
ZosPBPrhrD17,2017,NA
ZosPBPrhrD18,2018,NA
ZosPBPrhrE17,2017,NA
ZosPBPrhrE18,2018,NA
ZosPBPrhrF18,2018,NA
ZosPBPrzmA16,2016,NA
ZosPBSnewA16,2016,new
ZosPBSnewA17,2017,new
ZosPBSnewA18,2018,new
ZosPBSnewB16,2016,new
ZosPBSnewB17,2017,new
ZosPBSnewC17,2017,new
ZosPBSnewD16,2016,new
ZosPBSnewD17,2017,new
ZosPBSnewD18,2018,new
ZosPBSnewE16,2016,new
ZosPBSnewE17,2017,new
ZosPBSnewF16,2016,new
ZosPBSnewG16,2016,new
ZosPBSoldA16,2016,old
ZosPBSoldA17,2017,old
ZosPBSoldA18,2018,old
ZosPBSoldB16,2016,old
ZosPBSoldB17,2017,old
ZosPBSoldB18,2018,old
ZosPBSoldC16,2016,old
ZosPBSoldC17,2017,old
ZosPBSoldC18,2018,old
ZosPBSoldD16,2016,old
ZosPBSoldD17,2017,old
ZosPBSoldD18,2018,old
ZosPBSoldE16,2016,old
ZosPBSoldE18,2018,old
ZosPBSoldF16,2016,old
ZosPBSoldF18,2018,old
ZosPBSoldG16,2016,old
ZosPBSoldH16,2016,old
ZosPBSolEE17,2017,old
ZosPBSrhrA17,2017,NA
ZosPBSrhrB17,2017,NA
