chkd_n_1,chkd_n_2,chkd_n_3,chkd_n_4,chkd_n_5,chkd_s_1,chkd_s_2,chkd_s_3,chkd_s_4,chkd_s_5,chkd_s_6,gs_nrt_1,gs_nrt_2,gs_nrt_3,gs_nrt_4,gs_nrt_5,gs_nrt_6,gs_sth_s_1,gs_sth_s_3,gs_sth_s_4,gs_sth_s_5,gs_sth_s_6,gs_sth_w_1,gs_st__2,gs_sth_w_3,gs_sth_w_4,gs_sth_w_5,gs_sth_w_6,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_4,mcmllns_n_5,mcmllns_n_6,mcmllns_s_1,mcmllns_s_2,mcmllns_s_3,mcmllns_s_4,mcmllns_s_5,mcmllns_s_6,trqt_n_2,trqt_n_3,trqt_n_4,trqt_n_5,trqt_n_6,trqt_s_2,trqt_s_4,trqt_s_5,trqt_s_6
0.4666666666666667,0.5384615384615384,0.6666666666666666,0.5384615384615384,0.5,0.3333333333333333,0.6,0.6666666666666666,0.2727272727272727,0.1111111111111111,0.42857142857142855,0.5,0.8888888888888888,0.4666666666666667,0.7894736842105263,0.5,0.5789473684210527,0,0.5555555555555556,0.6666666666666666,0.2727272727272727,0.6923076923076923,0.5,0.6,0.5,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.7647058823529411,0.4666666666666667,0.45454545454545453,0.38461538461538464,1,0.6,1,0.75,1,1,1,1,1,0.7272727272727273,0.7142857142857143,0.8181818181818182,0.7894736842105263,1,0.45454545454545453,1,0.7777777777777778
0.42857142857142855,0.3333333333333333,0.6,0.3333333333333333,0.6,0.6363636363636364,0.5714285714285714,0.6,0.4,0.5,0.3333333333333333,0.6363636363636364,0.8823529411764706,0.7142857142857143,0.7777777777777778,0.7333333333333333,0.7777777777777778,0.5555555555555556,0,0.6521739130434783,0.6,0.6666666666666666,0.7333333333333333,0.6842105263157895,0.6,0.7142857142857143,0.7142857142857143,0.6363636363636364,0.75,0.7142857142857143,0.6,0.6666666666666666,1,0.7894736842105263,1,0.7142857142857143,1,1,1,1,1,0.7142857142857143,0.6923076923076923,0.8,0.7777777777777778,1,0.6,1,0.7647058823529411
0.3103448275862069,0.5555555555555556,0.9,0.5555555555555556,0.4666666666666667,0.46153846153846156,0.5172413793103449,0.9,0.52,0.6521739130434783,0.8095238095238095,0.7692307692307693,0.75,0.3793103448275862,0.696969696969697,0.6,0.5151515151515151,0.6666666666666666,0.6521739130434783,0,0.52,0.7037037037037037,0.4666666666666667,0.47058823529411764,0.3333333333333333,0.5172413793103449,0.7241379310344828,0.7692307692307693,0.7419354838709677,0.4482758620689655,0.68,0.6296296296296297,0.84,0.5294117647058824,0.9,0.8181818181818182,0.9047619047619048,0.9,0.9047619047619048,0.9,0.9090909090909091,0.5555555555555556,0.7857142857142857,0.84,0.696969696969697,0.8620689655172413,0.68,0.9090909090909091,0.8125
0.25,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.29411764705882354,0.23076923076923078,0.5,0.7142857142857143,0.16666666666666666,0.2,0.5,0.5384615384615384,0.8947368421052632,0.375,0.8,0.4117647058823529,0.5,0.2727272727272727,0.6,0.52,0,0.5714285714285714,0.4117647058823529,0.5238095238095238,0.4117647058823529,0.375,0.75,0.6923076923076923,0.7777777777777778,0.375,0.5,0.2857142857142857,1,0.5238095238095238,1,0.7777777777777778,1,1,1,1,1,0.7391304347826086,0.7333333333333333,0.8333333333333334,0.8,1,0.5,1,0.7894736842105263
0.5555555555555556,0.75,0.7777777777777778,0.75,0.6842105263157895,0.7333333333333333,0.5555555555555556,0.7777777777777778,0.7142857142857143,0.6666666666666666,0.6,0.6,0.42857142857142855,0.7777777777777778,0.5454545454545454,0.6842105263157895,0.36363636363636365,0.6923076923076923,0.6666666666666666,0.7037037037037037,0.5714285714285714,0,0.5789473684210527,0.7391304347826086,0.6842105263157895,0.7777777777777778,0.2222222222222222,0.2,0.6,0.5555555555555556,0.42857142857142855,0.75,0.7142857142857143,0.5652173913043478,0.7777777777777778,0.45454545454545453,0.6,0.7777777777777778,0.6,0.7777777777777778,0.45454545454545453,0.44,0.17647058823529413,0.14285714285714285,0.5454545454545454,0.5555555555555556,0.2857142857142857,0.45454545454545453,0.3333333333333333
0.42857142857142855,0.6842105263157895,0.8333333333333334,0.6842105263157895,0.5454545454545454,0.4444444444444444,0.7142857142857143,0.8333333333333334,0.4117647058823529,0.4666666666666667,0.6923076923076923,0.5555555555555556,0.6666666666666666,0.23809523809523808,0.52,0.36363636363636365,0.36,0.5,0.7333333333333333,0.4666666666666667,0.4117647058823529,0.5789473684210527,0,0.38461538461538464,0.45454545454545453,0.23809523809523808,0.5238095238095238,0.4444444444444444,0.6521739130434783,0.3333333333333333,0.29411764705882354,0.3684210526315789,0.8823529411764706,0.38461538461538464,0.8333333333333334,0.5714285714285714,0.6923076923076923,0.8333333333333334,0.6923076923076923,0.8333333333333334,0.7142857142857143,0.5,0.6,0.6470588235294118,0.44,0.8095238095238095,0.4117647058823529,0.7142857142857143,0.5833333333333334
0.36,0.5652173913043478,0.875,0.5652173913043478,0.46153846153846156,0.45454545454545453,0.6,0.875,0.42857142857142855,0.5789473684210527,0.7647058823529411,0.45454545454545453,0.6428571428571429,0.36,0.5862068965517241,0.38461538461538464,0.5172413793103449,0.6,0.6842105263157895,0.47058823529411764,0.5238095238095238,0.7391304347826086,0.38461538461538464,0,0.38461538461538464,0.44,0.52,0.6363636363636364,0.48148148148148145,0.44,0.5238095238095238,0.4782608695652174,0.8095238095238095,0.5333333333333333,0.875,0.7777777777777778,0.8823529411764706,0.875,0.8823529411764706,0.875,0.8888888888888888,0.5625,0.75,0.8095238095238095,0.4482758620689655,0.84,0.6190476190476191,0.8888888888888888,0.6428571428571429
0.3333333333333333,0.47368421052631576,0.8333333333333334,0.47368421052631576,0.36363636363636365,0.2222222222222222,0.42857142857142855,0.8333333333333334,0.29411764705882354,0.4666666666666667,0.6923076923076923,0.5555555555555556,0.75,0.3333333333333333,0.6,0.36363636363636365,0.44,0.5,0.6,0.3333333333333333,0.4117647058823529,0.6842105263157895,0.45454545454545453,0.38461538461538464,0,0.42857142857142855,0.6190476190476191,0.6666666666666666,0.6521739130434783,0.23809523809523808,0.6470588235294118,0.47368421052631576,0.7647058823529411,0.38461538461538464,1,0.8571428571428571,1,1,1,1,0.8571428571428571,0.5,0.7,0.7647058823529411,0.76,0.9047619047619048,0.6470588235294118,1,0.75
0.5,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.5238095238095238,0.4117647058823529,0.7,0.8181818181818182,0.375,0.42857142857142855,0.6666666666666666,0.5294117647058824,0.8260869565217391,0.2,0.6666666666666666,0.42857142857142855,0.4166666666666667,0.4666666666666667,0.7142857142857143,0.5172413793103449,0.375,0.7777777777777778,0.23809523809523808,0.44,0.42857142857142855,0,0.7,0.6470588235294118,0.7272727272727273,0.4,0.5,0.3333333333333333,1,0.52,1,0.8461538461538461,1,1,1,1,1,0.6296296296296297,0.7894736842105263,0.875,0.5833333333333334,1,0.625,1,0.7391304347826086
0.6,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.7142857142857143,0.6470588235294118,0.6,0.8181818181818182,0.75,0.7142857142857143,0.6666666666666666,0.4117647058823529,0.21739130434782608,0.6,0.4166666666666667,0.42857142857142855,0.4166666666666667,0.7333333333333333,0.7142857142857143,0.7241379310344828,0.75,0.2222222222222222,0.5238095238095238,0.52,0.6190476190476191,0.7,0,0.17647058823529413,0.36363636363636365,0.6,0.375,0.6666666666666666,0.625,0.52,0.8181818181818182,0.5384615384615384,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.8181818181818182,0.5384615384615384,0.4074074074074074,0.2631578947368421,0.25,0.4166666666666667,0.5,0.375,0.5384615384615384,0.21739130434782608
0.6470588235294118,0.7333333333333333,0.75,0.7333333333333333,0.7777777777777778,0.7142857142857143,0.6470588235294118,0.75,0.6923076923076923,0.6363636363636364,0.5555555555555556,0.42857142857142855,0.4,0.6470588235294118,0.42857142857142855,0.5555555555555556,0.42857142857142855,0.6666666666666666,0.6363636363636364,0.7692307692307693,0.6923076923076923,0.2,0.4444444444444444,0.6363636363636364,0.6666666666666666,0.6470588235294118,0.17647058823529413,0,0.47368421052631576,0.5294117647058824,0.23076923076923078,0.6,0.6923076923076923,0.45454545454545453,0.75,0.4,0.5555555555555556,0.75,0.5555555555555556,0.75,0.4,0.5,0.25,0.23076923076923078,0.42857142857142855,0.6470588235294118,0.23076923076923078,0.4,0.3
