chkd__NA,chkd__NA.1,chkd_n_3,chkd__NA.2,chkd_s_6,chkd_s_5,gs_sth_s_5,gs_sth_s_2,gs_sth_s_1,gs_sth_s_4,gs_sth_s_6,gs_sth_s_3,gs_sth_w_4,gs_sth_w_3,gs_sth_w_6,gs_sth_w_2,gs_sth_w_5,gs_sth_w_1,mcmllns_n_4,mcmllns_n_5,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_6,mcmllns_s_2,mcmllns_s_5,mcmllns_s_6,mcmllns_s_3,mcmllns_s_1,mcmllns_s_4,trqt_n_5,trqt_n_1,trqt_n_4,trqt_n_2,trqt_n_6,trqt_n_3,trqt_s_5,trqt_s_6,trqt_s_4,trqt_s_3
1,0.5,1,1,1,1,0.5,0.5,0.4666666666666667,0.4117647058823529,0,0.6363636363636364,0.76,0.52,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.6,0.7777777777777778,0.8666666666666667,0.8571428571428571,0.8333333333333334,0.8181818181818182,0.8,0.7837837837837838,0.8620689655172413,0.8823529411764706,0.6,0.875,0.8461538461538461,0.7333333333333333,0.6190476190476191,0.6842105263157895,0.5384615384615384,0.8,0.8,0.5454545454545454,0.5384615384615384,0.7777777777777778,0.8
1,0.8181818181818182,1,1,1,1,0.6,0.45454545454545453,0.4,0.5,0.6363636363636364,0,0.7,0.7,0.8260869565217391,0.7777777777777778,0.3333333333333333,0.4,0.5384615384615384,0.6,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.2,0.8125,0.75,0.6666666666666666,0.6,0.6363636363636364,0.5,0.76,0.625,0.5714285714285714,0.25,0.2,0.2,0.6470588235294118,0.5,0.5,0.6
1,0.92,1,1,1,1,0.4482758620689655,0.6,0.6666666666666666,0.6923076923076923,0.76,0.7,0,0.35294117647058826,0.8918918918918919,0.5652173913043478,0.4782608695652174,0.4166666666666667,0.4074074074074074,0.4166666666666667,0.4782608695652174,0.6190476190476191,0.7,0.7894736842105263,0.6086956521739131,0.5789473684210527,0.46153846153846156,0.3793103448275862,0.44,0.5454545454545454,0.5384615384615384,0.4,0.42857142857142855,0.5454545454545454,0.7894736842105263,0.7894736842105263,0.41935483870967744,0.7272727272727273,0.8888888888888888,0.8947368421052632
1,0.76,1,1,1,1,0.4482758620689655,0.6,0.5833333333333334,0.6153846153846154,0.52,0.7,0.35294117647058826,0,0.8378378378378378,0.4782608695652174,0.4782608695652174,0.4166666666666667,0.48148148148148145,0.5,0.4782608695652174,0.6190476190476191,0.7,0.7894736842105263,0.6086956521739131,0.631578947368421,0.5384615384615384,0.4482758620689655,0.52,0.5454545454545454,0.5384615384615384,0.4666666666666667,0.5,0.5454545454545454,0.7894736842105263,0.7894736842105263,0.4838709677419355,0.7272727272727273,0.8888888888888888,0.8947368421052632
0.9259259259259259,1,1,1,0.9310344827586207,1,0.875,0.8571428571428571,0.8518518518518519,0.7241379310344828,0.9285714285714286,0.8260869565217391,0.8918918918918919,0.8378378378378378,0,0.9230769230769231,0.8461538461538461,0.8518518518518519,0.8666666666666667,0.8518518518518519,0.8461538461538461,0.8333333333333334,0.8260869565217391,0.8181818181818182,0.9183673469387755,0.9024390243902439,0.8620689655172413,0.875,0.8571428571428571,0.84,0.9047619047619048,0.8787878787878788,0.8709677419354839,0.84,0.8181818181818182,0.8181818181818182,0.8823529411764706,0.92,1,0.9090909090909091
1,0.8571428571428571,1,1,1,1,0.5555555555555556,0.8571428571428571,0.8461538461538461,0.7333333333333333,0.7142857142857143,0.7777777777777778,0.5652173913043478,0.4782608695652174,0.9230769230769231,0,0.3333333333333333,0.5384615384615384,0.875,1,1,1,1,1,0.8857142857142857,0.9259259259259259,1,0.7777777777777778,1,1,0.8571428571428571,0.7894736842105263,0.8823529411764706,0.45454545454545453,1,1,0.5,0.6363636363636364,0.7142857142857143,0.75
1,0.8571428571428571,1,1,1,1,0.3333333333333333,0.5714285714285714,0.5384615384615384,0.4666666666666667,0.5714285714285714,0.3333333333333333,0.4782608695652174,0.4782608695652174,0.8461538461538461,0.3333333333333333,0,0.23076923076923078,0.625,0.6923076923076923,0.6666666666666666,0.6,0.5555555555555556,0.5,0.7714285714285715,0.7777777777777778,0.7333333333333333,0.5555555555555556,0.7142857142857143,0.6363636363636364,0.7142857142857143,0.5789473684210527,0.6470588235294118,0.09090909090909091,0.5,0.5,0.4,0.45454545454545453,0.7142857142857143,0.75
1,0.8666666666666667,1,1,1,1,0.2631578947368421,0.3333333333333333,0.42857142857142855,0.5,0.6,0.4,0.4166666666666667,0.4166666666666667,0.8518518518518519,0.5384615384615384,0.23076923076923078,0,0.4117647058823529,0.42857142857142855,0.38461538461538464,0.2727272727272727,0.4,0.5555555555555556,0.6666666666666666,0.6428571428571429,0.5,0.3684210526315789,0.4666666666666667,0.3333333333333333,0.5862068965517241,0.4,0.4444444444444444,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.5238095238095238,0.5,0.75,0.7777777777777778
1,0.8888888888888888,1,1,1,1,0.5454545454545454,0.4444444444444444,0.5294117647058824,0.6842105263157895,0.7777777777777778,0.5384615384615384,0.4074074074074074,0.48148148148148145,0.8666666666666667,0.875,0.625,0.4117647058823529,0,0.17647058823529413,0.25,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.48717948717948717,0.3548387096774194,0.05263157894736842,0.09090909090909091,0.1111111111111111,0.3333333333333333,0.375,0.13043478260869565,0.047619047619047616,0.6,0.6666666666666666,0.6666666666666666,0.75,0.7333333333333333,0.8181818181818182,0.8333333333333334
1,1,1,1,1,1,0.5789473684210527,0.4666666666666667,0.5714285714285714,0.75,0.8666666666666667,0.6,0.4166666666666667,0.5,0.8518518518518519,1,0.6923076923076923,0.42857142857142855,0.17647058823529413,0,0.07692307692307693,0.2727272727272727,0.4,0.5555555555555556,0.6111111111111112,0.5,0.125,0.2631578947368421,0.06666666666666667,0.16666666666666666,0.5172413793103449,0.3,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.8095238095238095,0.8333333333333334,1,1
1,1,1,1,1,1,0.5555555555555556,0.42857142857142855,0.5384615384615384,0.7333333333333333,0.8571428571428571,0.5555555555555556,0.4782608695652174,0.4782608695652174,0.8461538461538461,1,0.6666666666666666,0.38461538461538464,0.25,0.07692307692307693,0,0.2,0.3333333333333333,0.5,0.6571428571428571,0.5555555555555556,0.2,0.3333333333333333,0.14285714285714285,0.09090909090909091,0.5714285714285714,0.3684210526315789,0.29411764705882354,0.6363636363636364,0.5,0.5,0.8,0.8181818181818182,1,1
1,1,1,1,1,1,0.5,0.3333333333333333,0.45454545454545453,0.6923076923076923,0.8333333333333334,0.42857142857142855,0.6190476190476191,0.6190476190476191,0.8333333333333334,1,0.6,0.2727272727272727,0.42857142857142855,0.2727272727272727,0.2,0,0.14285714285714285,0.3333333333333333,0.7575757575757576,0.68,0.38461538461538464,0.5,0.3333333333333333,0.1111111111111111,0.6923076923076923,0.5294117647058824,0.4666666666666667,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.7777777777777778,1,1
1,1,1,1,1,1,0.6,0.45454545454545453,0.4,0.6666666666666666,0.8181818181818182,0.3333333333333333,0.7,0.7,0.8260869565217391,1,0.5555555555555556,0.4,0.5384615384615384,0.4,0.3333333333333333,0.14285714285714285,0,0.2,0.8125,0.75,0.5,0.6,0.45454545454545453,0.25,0.76,0.625,0.5714285714285714,0.5,0.2,0.2,0.7647058823529411,0.75,1,1
1,1,1,1,1,1,0.7142857142857143,0.6,0.5555555555555556,0.6363636363636364,0.8,0.2,0.7894736842105263,0.7894736842105263,0.8181818181818182,1,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,0.2,0,0.8709677419354839,0.8260869565217391,0.6363636363636364,0.7142857142857143,0.6,0.42857142857142855,0.8333333333333334,0.7333333333333333,0.6923076923076923,0.42857142857142855,0,0,0.75,0.7142857142857143,1,1
1,0.9459459459459459,0.9333333333333333,1,1,1,0.7073170731707317,0.7297297297297297,0.7222222222222222,0.7894736842105263,0.7837837837837838,0.8125,0.6086956521739131,0.6086956521739131,0.9183673469387755,0.8857142857142857,0.7714285714285715,0.6666666666666666,0.48717948717948717,0.6111111111111112,0.6571428571428571,0.7575757575757576,0.8125,0.8709677419354839,0,0.16,0.5263157894736842,0.4634146341463415,0.5675675675675675,0.7058823529411765,0.3333333333333333,0.42857142857142855,0.5,0.7647058823529411,0.8709677419354839,0.8709677419354839,0.813953488372093,0.8235294117647058,0.9333333333333333,0.9354838709677419
1,0.9310344827586207,0.9090909090909091,1,1,1,0.696969696969697,0.6551724137931034,0.7142857142857143,0.8,0.8620689655172413,0.75,0.5789473684210527,0.631578947368421,0.9024390243902439,0.9259259259259259,0.7777777777777778,0.6428571428571429,0.3548387096774194,0.5,0.5555555555555556,0.68,0.75,0.8260869565217391,0.16,0,0.4,0.3939393939393939,0.4482758620689655,0.6153846153846154,0.2558139534883721,0.35294117647058826,0.375,0.7692307692307693,0.8260869565217391,0.8260869565217391,0.8285714285714286,0.8461538461538461,0.9090909090909091,0.9130434782608695
1,1,1,1,1,1,0.6190476190476191,0.5294117647058824,0.625,0.7777777777777778,0.8823529411764706,0.6666666666666666,0.46153846153846156,0.5384615384615384,0.8620689655172413,1,0.7333333333333333,0.5,0.05263157894736842,0.125,0.2,0.38461538461538464,0.5,0.6363636363636364,0.5263157894736842,0.4,0,0.14285714285714285,0.058823529411764705,0.2857142857142857,0.41935483870967744,0.18181818181818182,0.1,0.7142857142857143,0.6363636363636364,0.6363636363636364,0.8260869565217391,0.8571428571428571,1,1
1,0.9,1,1,1,1,0.4166666666666667,0.4,0.47368421052631576,0.6190476190476191,0.6,0.6,0.3793103448275862,0.4482758620689655,0.875,0.7777777777777778,0.5555555555555556,0.3684210526315789,0.09090909090909091,0.2631578947368421,0.3333333333333333,0.5,0.6,0.7142857142857143,0.4634146341463415,0.3939393939393939,0.14285714285714285,0,0.2,0.4117647058823529,0.29411764705882354,0.04,0.043478260869565216,0.5294117647058824,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.6470588235294118,0.8461538461538461,0.8571428571428571
1,1,1,1,1,1,0.6,0.5,0.6,0.7647058823529411,0.875,0.6363636363636364,0.44,0.52,0.8571428571428571,1,0.7142857142857143,0.4666666666666667,0.1111111111111111,0.06666666666666667,0.14285714285714285,0.3333333333333333,0.45454545454545453,0.6,0.5675675675675675,0.4482758620689655,0.058823529411764705,0.2,0,0.23076923076923078,0.4666666666666667,0.23809523809523808,0.15789473684210525,0.6923076923076923,0.6,0.6,0.8181818181818182,0.8461538461538461,1,1
1,1,1,1,1,1,0.5294117647058824,0.38461538461538464,0.5,0.7142857142857143,0.8461538461538461,0.5,0.5454545454545454,0.5454545454545454,0.84,1,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.09090909090909091,0.1111111111111111,0.25,0.42857142857142855,0.7058823529411765,0.6153846153846154,0.2857142857142857,0.4117647058823529,0.23076923076923078,0,0.6296296296296297,0.4444444444444444,0.375,0.6,0.42857142857142855,0.42857142857142855,0.7894736842105263,0.8,1,1
1,0.9333333333333333,1,1,1,1,0.5294117647058824,0.5333333333333333,0.6551724137931034,0.7419354838709677,0.7333333333333333,0.76,0.5384615384615384,0.5384615384615384,0.9047619047619048,0.8571428571428571,0.7142857142857143,0.5862068965517241,0.375,0.5172413793103449,0.5714285714285714,0.6923076923076923,0.76,0.8333333333333334,0.3333333333333333,0.2558139534883721,0.41935483870967744,0.29411764705882354,0.4666666666666667,0.6296296296296297,0,0.2571428571428571,0.3333333333333333,0.7037037037037037,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.9130434782608695,0.9166666666666666
1,0.9047619047619048,1,1,1,1,0.44,0.42857142857142855,0.5,0.6363636363636364,0.6190476190476191,0.625,0.4,0.4666666666666667,0.8787878787878788,0.7894736842105263,0.5789473684210527,0.4,0.13043478260869565,0.3,0.3684210526315789,0.5294117647058824,0.625,0.7333333333333333,0.42857142857142855,0.35294117647058826,0.18181818181818182,0.04,0.23809523809523808,0.4444444444444444,0.2571428571428571,0,0.08333333333333333,0.5555555555555556,0.7333333333333333,0.7333333333333333,0.6296296296296297,0.6666666666666666,0.8571428571428571,0.8666666666666667
1,0.8947368421052632,1,1,1,1,0.4782608695652174,0.3684210526315789,0.4444444444444444,0.7,0.6842105263157895,0.5714285714285714,0.42857142857142855,0.5,0.8709677419354839,0.8823529411764706,0.6470588235294118,0.4444444444444444,0.047619047619047616,0.2222222222222222,0.29411764705882354,0.4666666666666667,0.5714285714285714,0.6923076923076923,0.5,0.375,0.1,0.043478260869565216,0.15789473684210525,0.375,0.3333333333333333,0.08333333333333333,0,0.625,0.6923076923076923,0.6923076923076923,0.68,0.75,0.8333333333333334,0.8461538461538461
1,0.8461538461538461,1,1,1,1,0.4117647058823529,0.5384615384615384,0.5,0.42857142857142855,0.5384615384615384,0.25,0.5454545454545454,0.5454545454545454,0.84,0.45454545454545453,0.09090909090909091,0.16666666666666666,0.6,0.6666666666666666,0.6363636363636364,0.5555555555555556,0.5,0.42857142857142855,0.7647058823529411,0.7692307692307693,0.7142857142857143,0.5294117647058824,0.6923076923076923,0.6,0.7037037037037037,0.5555555555555556,0.625,0,0.42857142857142855,0.42857142857142855,0.47368421052631576,0.4,0.6666666666666666,0.7142857142857143
1,1,1,1,1,1,0.7142857142857143,0.6,0.5555555555555556,0.6363636363636364,0.8,0.2,0.7894736842105263,0.7894736842105263,0.8181818181818182,1,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,0.2,0,0.8709677419354839,0.8260869565217391,0.6363636363636364,0.7142857142857143,0.6,0.42857142857142855,0.8333333333333334,0.7333333333333333,0.6923076923076923,0.42857142857142855,0,0,0.75,0.7142857142857143,1,1
1,1,1,1,1,1,0.7142857142857143,0.6,0.5555555555555556,0.6363636363636364,0.8,0.2,0.7894736842105263,0.7894736842105263,0.8181818181818182,1,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,0.2,0,0.8709677419354839,0.8260869565217391,0.6363636363636364,0.7142857142857143,0.6,0.42857142857142855,0.8333333333333334,0.7333333333333333,0.6923076923076923,0.42857142857142855,0,0,0.75,0.7142857142857143,1,1
1,0.8181818181818182,1,1,1,1,0.46153846153846156,0.6363636363636364,0.6190476190476191,0.5652173913043478,0.5454545454545454,0.6470588235294118,0.41935483870967744,0.4838709677419355,0.8823529411764706,0.5,0.4,0.5238095238095238,0.75,0.8095238095238095,0.8,0.7777777777777778,0.7647058823529411,0.75,0.813953488372093,0.8285714285714286,0.8260869565217391,0.6153846153846154,0.8181818181818182,0.7894736842105263,0.7222222222222222,0.6296296296296297,0.68,0.47368421052631576,0.75,0.75,0,0.6842105263157895,0.8666666666666667,0.875
1,0.8461538461538461,1,1,0.8571428571428571,1,0.6470588235294118,0.6923076923076923,0.6666666666666666,0.5714285714285714,0.5384615384615384,0.5,0.7272727272727273,0.7272727272727273,0.92,0.6363636363636364,0.45454545454545453,0.5,0.7333333333333333,0.8333333333333334,0.8181818181818182,0.7777777777777778,0.75,0.7142857142857143,0.8235294117647058,0.8461538461538461,0.8571428571428571,0.6470588235294118,0.8461538461538461,0.8,0.7777777777777778,0.6666666666666666,0.75,0.4,0.7142857142857143,0.7142857142857143,0.6842105263157895,0,0.6666666666666666,0.7142857142857143
1,0.7777777777777778,1,1,1,1,0.8461538461538461,0.7777777777777778,0.75,0.8,0.7777777777777778,0.5,0.8888888888888888,0.8888888888888888,1,0.7142857142857143,0.7142857142857143,0.75,0.8181818181818182,1,1,1,1,1,0.9333333333333333,0.9090909090909091,1,0.8461538461538461,1,1,0.9130434782608695,0.8571428571428571,0.8333333333333334,0.6666666666666666,1,1,0.8666666666666667,0.6666666666666666,0,0.3333333333333333
1,0.8,1,1,1,1,0.8571428571428571,0.8,0.7777777777777778,0.6363636363636364,0.8,0.6,0.8947368421052632,0.8947368421052632,0.9090909090909091,0.75,0.75,0.7777777777777778,0.8333333333333334,1,1,1,1,1,0.9354838709677419,0.9130434782608695,1,0.8571428571428571,1,1,0.9166666666666666,0.8666666666666667,0.8461538461538461,0.7142857142857143,1,1,0.875,0.7142857142857143,0.3333333333333333,0
