chkd_n_4,chkd_n_3,chkd_n_2,chkd_n_1,chkd_s_4,chkd_s_2,chkd_s_6,chkd_s_1,chkd_s_3,prth_b_5,prth_b_7,prth_b_4,prth_b_3,prth_b_6,prth_p_1,prth_p_4,prth_p_5,prth_p_3,prth_p_2,trqt_n_3,trqt_n_5,trqt_n_4,trqt_n_2,trqt_n_1,trqt_s_4,trqt_s_3,trqt_s_1,trqt_s_2
0.7363333333333333,0.7556666666666667,0.7523333333333333,0.7636666666666667,0.6296666666666667,0.622,0.6343333333333333,0.616,0.6716666666666666,0.478,0.383,0.43633333333333335,0.487,0.5693333333333334,0.3983333333333333,0.27466666666666667,0.3303333333333333,0.31366666666666665,0,0.62,0.524,0.4796666666666667,0.499,0.549,0.589,0.561,0.6536666666666666,0.537
0.838,0.8496666666666667,0.877,0.8553333333333333,0.666,0.6936666666666667,0.726,0.6543333333333333,0.825,0.7556666666666667,0.609,0.7,0.724,0.7493333333333333,0.7203333333333334,0.7553333333333333,0.5716666666666667,0.6236666666666667,0.62,0,0.395,0.37166666666666665,0.2776666666666667,0.3566666666666667,0.5173333333333333,0.4583333333333333,0.42833333333333334,0.44866666666666666
0.745,0.751,0.8186666666666667,0.7833333333333333,0.6236666666666667,0.645,0.67,0.637,0.738,0.6743333333333333,0.48633333333333334,0.5993333333333334,0.618,0.628,0.6286666666666667,0.6613333333333333,0.49033333333333334,0.5653333333333334,0.524,0.395,0,0.2956666666666667,0.35,0.44566666666666666,0.461,0.42733333333333334,0.41233333333333333,0.477
0.777,0.7646666666666667,0.8486666666666667,0.807,0.6083333333333333,0.6053333333333333,0.6473333333333333,0.5713333333333334,0.722,0.728,0.5486666666666666,0.6986666666666667,0.6576666666666666,0.6856666666666666,0.681,0.6343333333333333,0.5743333333333334,0.579,0.4796666666666667,0.37166666666666665,0.2956666666666667,0,0.27366666666666667,0.39766666666666667,0.48133333333333334,0.49666666666666665,0.503,0.532
0.8313333333333334,0.825,0.868,0.83,0.5346666666666666,0.5853333333333334,0.614,0.518,0.7146666666666667,0.7386666666666667,0.5486666666666666,0.6936666666666667,0.701,0.716,0.6876666666666666,0.6546666666666666,0.5533333333333333,0.628,0.499,0.2776666666666667,0.35,0.27366666666666667,0,0.42433333333333334,0.482,0.4786666666666667,0.44033333333333335,0.4806666666666667
0.7666666666666667,0.7346666666666667,0.7943333333333333,0.8036666666666666,0.7356666666666667,0.7136666666666667,0.7746666666666666,0.7213333333333334,0.81466666666666665,0.6546666666666666,0.572,0.6783333333333333,0.6293333333333333,0.6623333333333333,0.6676666666666666,0.67,0.5513333333333333,0.5303333333333333,0.549,0.3566666666666667,0.44566666666666666,0.39766666666666667,0.42433333333333334,0,0.5656666666666667,0.48133333333333334,0.49833333333333335,0.456
0.8333333333333334,0.804,0.855,0.8583333333333333,0.6506666666666666,0.6566666666666666,0.68,0.6486666666666666,0.7636666666666667,0.7263333333333334,0.5693333333333334,0.6523333333333333,0.6986666666666667,0.7056666666666667,0.683,0.7016666666666667,0.5456666666666666,0.6256666666666667,0.589,0.5173333333333333,0.461,0.48133333333333334,0.482,0.5656666666666667,0,0.25233333333333335,0.42333333333333334,0.396
0.7866666666666666,0.7546666666666667,0.833,0.802,0.717,0.7266666666666667,0.7283333333333334,0.7433333333333333,0.797,0.65,0.532,0.587,0.624,0.644,0.634,0.6833333333333333,0.48633333333333334,0.5346666666666666,0.561,0.4583333333333333,0.42733333333333334,0.49666666666666665,0.4786666666666667,0.48133333333333334,0.25233333333333335,0,0.331,0.30033333333333334
0.8173333333333334,0.7526666666666667,0.868,0.866,0.7096666666666667,0.7446666666666667,0.7656666666666667,0.74,0.8643333333333333,0.719,0.6116666666666667,0.6453333333333333,0.6956666666666667,0.6886666666666666,0.6973333333333334,0.7796666666666666,0.5303333333333333,0.6053333333333333,0.6536666666666666,0.42833333333333334,0.41233333333333333,0.503,0.44033333333333335,0.49833333333333335,0.42333333333333334,0.331,0,0.2713333333333333
0.797,0.7736666666666666,0.7986666666666666,0.85,0.71,0.7336666666666667,0.7496666666666667,0.7356666666666667,0.8416666666666667,0.623,0.532,0.5473333333333333,0.596,0.6683333333333333,0.5983333333333334,0.658,0.44633333333333336,0.5216666666666666,0.537,0.44866666666666666,0.477,0.532,0.4806666666666667,0.456,0.396,0.30033333333333334,0.2713333333333333,0
