chkd__NA,chkd_n_1,chkd_n_2,chkd__NA.1,chkd__NA.2,chkd__NA.3,chkd__NA.4,chkd_s_1,chkd_s_2,chkd_s_3,chkd_s_4,chkd_s_5,chkd_s_6,gs_sth_s_1,gs_sth_s_2,gs_sth_s_3,gs_sth_s_4,gs_sth_s_5,gs_sth_s_6,gs_sth_w_1,gs_sth_w_2,gs_sth_w_3,gs_sth_w_4,gs_sth_w_5,gs_sth_w_6,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_4,mcmllns_n_5,mcmllns_n_6,mcmllns_s_1,mcmllns_s_2,mcmllns_s_3,mcmllns_s_4,mcmllns_s_5,mcmllns_s_6,trqt_n_1,trqt_n_2,trqt_n_3,trqt_n_4,trqt_n_5,trqt_n_6,trqt_s_1,trqt_s_2,trqt_s_3,trqt_s_4,trqt_s_5,trqt_s_6
0.7096666666666667,0.7496666666666667,0.7593333333333333,0.81033333333333335,0.8613333333333333,0.9026666666666666,0.8626666666666667,0.8363333333333334,0.41333333333333333,0.9476666666666667,0,0.8896666666666667,0.502,0.7686666666666667,0.781,0.7483333333333333,0.8133333333333334,0.874,0.9026666666666666,0.839,0.8556666666666667,0.8073333333333333,0.859,0.8446666666666667,0.835,0.7766666666666666,0.7186666666666667,0.742,0.7323333333333333,0.7403333333333333,0.736,0.7216666666666667,0.734,0.7756666666666666,0.7296666666666667,0.7176666666666667,0.7636666666666667,0.7896666666666666,0.8366666666666667,0.7746666666666666,0.803,0.8873333333333333,0.7773333333333333,0.9643333333333334,0.798,0.7976666666666666,0.797,0.833,0.7853333333333333
0.869,0.809,0.8786666666666667,0.768,0.7346666666666667,0.6346666666666667,0.678,0.629,0.8766666666666667,0.9446666666666667,0.8896666666666667,0,0.786,0.9316666666666666,0.936,0.9303333333333333,0.936,0.9746666666666667,0.975,0.9283333333333333,0.9706666666666667,0.8716666666666667,0.966,0.9583333333333334,0.8176666666666667,0.9716666666666667,0.947,0.9593333333333334,0.9606666666666667,0.9586666666666667,0.934,0.9466666666666667,0.9256666666666666,0.9513333333333334,0.924,0.9136666666666666,0.929,0.879,0.96,0.8553333333333333,0.9136666666666666,0.9626666666666667,0.852,0.9773333333333334,0.8753333333333333,0.95,0.9316666666666666,0.93966666666666665,0.9313333333333333
0.6673333333333333,0.6706666666666666,0.7776666666666666,0.693,0.754,0.7873333333333333,0.7426666666666667,0.747,0.5556666666666666,0.9096666666666666,0.502,0.786,0,0.836,0.84,0.783,0.8693333333333333,0.9083333333333333,0.9313333333333333,0.864,0.8926666666666667,0.794,0.9086666666666666,0.8886666666666667,0.8043333333333333,0.8366666666666667,0.8086666666666666,0.8263333333333334,0.8016666666666666,0.8156666666666667,0.8116666666666666,0.805,0.7993333333333333,0.8596666666666667,0.8056666666666666,0.799,0.81,0.8213333333333334,0.873,0.833,0.8313333333333334,0.9003333333333333,0.803,0.973,0.7853333333333333,0.8413333333333334,0.837,0.8543333333333333,0.8143333333333334
0.8503333333333334,0.8486666666666667,0.844,0.8813333333333333,0.9156666666666666,0.9206666666666666,0.9156666666666666,0.947,0.7023333333333334,0.99,0.7686666666666667,0.9316666666666666,0.836,0,0.5286666666666666,0.44566666666666666,0.6113333333333333,0.693,0.7666666666666667,0.6773333333333333,0.699,0.706,0.7043333333333334,0.69,0.6986666666666667,0.7623333333333333,0.7163333333333334,0.7496666666666667,0.7196666666666667,0.7533333333333333,0.7043333333333334,0.6536666666666666,0.6313333333333333,0.7113333333333334,0.652,0.6326666666666667,0.6306666666666667,0.6783333333333333,0.7626666666666667,0.762,0.6913333333333334,0.8233333333333334,0.6813333333333333,0.9666666666666667,0.7466666666666667,0.68,0.624,0.686,0.6443333333333333
0.851,0.847,0.7993333333333333,0.8566666666666667,0.909,0.9223333333333333,0.9133333333333333,0.9303333333333333,0.7596666666666667,0.9816666666666667,0.781,0.936,0.84,0.5286666666666666,0,0.5583333333333333,0.6233333333333333,0.5743333333333334,0.667,0.6553333333333333,0.684,0.64,0.6523333333333333,0.6343333333333333,0.7003333333333334,0.7473333333333333,0.721,0.74,0.707,0.7726666666666666,0.7413333333333333,0.6356666666666667,0.6233333333333333,0.6463333333333333,0.6173333333333333,0.6066666666666667,0.631,0.6546666666666666,0.7366666666666667,0.7816666666666666,0.651,0.7366666666666667,0.686,0.9446666666666667,0.743,0.7063333333333334,0.702,0.662,0.6743333333333333
0.808,0.8276666666666667,0.814,0.8493333333333334,0.905,0.915,0.901,0.9356666666666666,0.6846666666666666,0.99,0.7483333333333333,0.9303333333333333,0.783,0.44566666666666666,0.5583333333333333,0,0.5916666666666667,0.7353333333333333,0.8253333333333334,0.7493333333333333,0.7823333333333333,0.721,0.772,0.7433333333333333,0.703,0.767,0.7086666666666667,0.7526666666666667,0.7116666666666667,0.7483333333333333,0.703,0.6806666666666666,0.6606666666666666,0.7026666666666667,0.664,0.641,0.6553333333333333,0.6403333333333333,0.773,0.734,0.688,0.8143333333333334,0.6466666666666666,0.961,0.7166666666666667,0.729,0.7026666666666667,0.7453333333333333,0.7096666666666667
0.8433333333333334,0.8243333333333334,0.8166666666666667,0.875,0.9176666666666666,0.9223333333333333,0.9083333333333333,0.9373333333333334,0.8023333333333333,0.9586666666666667,0.8133333333333334,0.936,0.8693333333333333,0.6113333333333333,0.6233333333333333,0.5916666666666667,0,0.7733333333333333,0.812,0.6993333333333334,0.77,0.6723333333333333,0.7346666666666667,0.757,0.6656666666666666,0.8446666666666667,0.7813333333333333,0.8006666666666666,0.7783333333333333,0.8276666666666667,0.7903333333333333,0.7213333333333334,0.6833333333333333,0.75,0.7083333333333334,0.688,0.7223333333333334,0.7303333333333333,0.8123333333333334,0.734,0.7646666666666667,0.8383333333333334,0.7776666666666666,0.9513333333333334,0.7066666666666667,0.7743333333333333,0.7713333333333333,0.759,0.7766666666666666
0.936,0.9303333333333333,0.8973333333333333,0.9073333333333333,0.9476666666666667,0.95,0.9453333333333334,0.967,0.867,0.9936666666666667,0.874,0.9746666666666667,0.9083333333333333,0.693,0.5743333333333334,0.7353333333333333,0.7733333333333333,0,0.483,0.6123333333333333,0.624,0.676,0.585,0.48433333333333334,0.752,0.8256666666666667,0.834,0.8343333333333334,0.7856666666666666,0.8716666666666667,0.8576666666666667,0.712,0.772,0.7456666666666667,0.7526666666666667,0.7536666666666667,0.7453333333333333,0.76,0.6956666666666667,0.8626666666666667,0.72,0.717,0.783,0.952,0.8753333333333333,0.813,0.778,0.63,0.7153333333333334
0.961,0.941,0.921,0.9283333333333333,0.9693333333333334,0.9673333333333334,0.9536666666666667,0.961,0.9013333333333333,0.9816666666666667,0.9026666666666666,0.975,0.9313333333333333,0.7666666666666667,0.667,0.8253333333333334,0.812,0.483,0,0.6473333333333333,0.6326666666666667,0.704,0.5836666666666667,0.49333333333333335,0.772,0.823,0.831,0.826,0.8026666666666666,0.8973333333333333,0.875,0.7446666666666667,0.788,0.763,0.7713333333333333,0.7933333333333333,0.7836666666666666,0.8163333333333334,0.7363333333333333,0.8746666666666667,0.7513333333333333,0.7316666666666667,0.8316666666666667,0.94,0.895,0.7743333333333333,0.7693333333333333,0.608,0.73
0.8896666666666667,0.865,0.8553333333333333,0.8813333333333333,0.9343333333333333,0.9223333333333333,0.9056666666666666,0.9186666666666666,0.8256666666666667,0.9496666666666667,0.839,0.9283333333333333,0.864,0.6773333333333333,0.6553333333333333,0.7493333333333333,0.6993333333333334,0.6123333333333333,0.6473333333333333,0,0.32866666666666666,0.458,0.31933333333333336,0.5136666666666667,0.5213333333333333,0.8566666666666667,0.8086666666666666,0.8186666666666667,0.7986666666666666,0.8426666666666667,0.8286666666666667,0.6776666666666666,0.6423333333333333,0.7293333333333333,0.687,0.6473333333333333,0.6596666666666666,0.7113333333333334,0.7433333333333333,0.792,0.7363333333333333,0.7703333333333333,0.7596666666666667,0.9446666666666667,0.7643333333333333,0.6733333333333333,0.7026666666666667,0.6316666666666667,0.669
0.9253333333333333,0.9166666666666666,0.9093333333333333,0.911,0.9546666666666667,0.949,0.9296666666666666,0.9476666666666667,0.852,0.986,0.8556666666666667,0.9706666666666667,0.8926666666666667,0.699,0.684,0.7823333333333333,0.77,0.624,0.6326666666666667,0.32866666666666666,0,0.545,0.38433333333333336,0.5096666666666667,0.592,0.8473333333333334,0.8343333333333334,0.844,0.797,0.8706666666666667,0.8663333333333333,0.6993333333333334,0.6846666666666666,0.7626666666666667,0.7266666666666667,0.7196666666666667,0.6943333333333334,0.7736666666666666,0.757,0.853,0.7676666666666667,0.7983333333333333,0.8076666666666666,0.9596666666666667,0.8093333333333333,0.6376666666666667,0.6946666666666667,0.6233333333333333,0.645
